"Customweb_OPPCw::* Required Fields","* Required Fields"
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method IFrame. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method IFrame. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method Payment Page. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method Payment Page. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method iFrame Authorization (Frontend). Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure 'Frontend-URL PCI DSS SAQ A compliant' is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method iFrame Authorization (Frontend). Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure 'Frontend-URL PCI DSS SAQ A compliant' is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Customweb_OPPCw::Here you can set which solvency ratings are denied. The selected values have higher priority than the ones selected in allow scoring and uncertain scoring.","Here you can set which solvency ratings are denied. The selected values have higher priority than the ones selected in allow scoring and uncertain scoring."
"Customweb_OPPCw::Here you can set which solvency ratings are let through while setting the transaction status to uncertain. The selected values have higher priority than the ones selected in allow scoring but lower priority than the values selected in deny scoring.","Here you can set which solvency ratings are let through while setting the transaction status to uncertain. The selected values have higher priority than the ones selected in allow scoring but lower priority than the values selected in deny scoring."
"Customweb_OPPCw::Here you can set which solvency ratings are let through. The selected values have lower priority than the ones selected in uncertain scoring and deny scoring.","Here you can set which solvency ratings are let through. The selected values have lower priority than the ones selected in uncertain scoring and deny scoring."
"Customweb_OPPCw::Here you may specify which CSS classes should be applied to the input field, if 'Use Style' is set to 'Classes'. These styles must be available to the page displaying the form.","Here you may specify which CSS classes should be applied to the input field, if 'Use Style' is set to 'Classes'. These styles must be available to the page displaying the form."
"Customweb_OPPCw::Hide","Hide"
"Customweb_OPPCw::Hide Conditions","Hide Conditions"
"Customweb_OPPCw::Hosted iFrame Configuration","Hosted iFrame Configuration"
"Customweb_OPPCw::Hungary","Hungary"
"Customweb_OPPCw::I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply.","I agree that Klarna can use my address data to identity and for scoring of checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply."
"Customweb_OPPCw::I agree to the presented terms.","* I agree to the presented terms."
"Customweb_OPPCw::I want to submit the mandate.","I want to submit the mandate."
"Customweb_OPPCw::IBAN","IBAN"
"Customweb_OPPCw::IBAN number","Bank account number (IBAN)"
"Customweb_OPPCw::IBAN: !iban","IBAN: !iban"
"Customweb_OPPCw::IFrame Height","Iframe Height"
"Customweb_OPPCw::IP could not be retrieved.","IP could not be retrieved."
"Customweb_OPPCw::Identification number: !number","Identification number: !number"
"Customweb_OPPCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, the item will be reserved until the payment is cancelled (see timeout option below). Activate this option if you do NOT wish to reserve the item in case of an aborted or failed payment. The order will then be cancelled immediately."
"Customweb_OPPCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order already being canceled."
"Customweb_OPPCw::If it is not applicable leave the field empty.","If it is not applicable leave the field empty."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","If the status is 'Pending' it is unclear whether the transaction will be captured successfully."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","If the status is 'Pending' it is unclear whether the transaction will be refunded successfully."
"Customweb_OPPCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_OPPCw::If the test mode is used, then the test parameter is used.","If the test mode is used, then the test parameter is used."
"Customweb_OPPCw::If this payment method should support recurring and moto transactions, you have to specify a second channel without 3d secure.","If this payment method should support recurring and moto transactions, you have to specify a second channel without 3d secure."
"Customweb_OPPCw::If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure.","If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3D secure."
"Customweb_OPPCw::If you have a specific pagestyle for PayPal, you can specify it here.","If you have a specific pagestyle for PayPal, you can specify it here."
"Customweb_OPPCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"Customweb_OPPCw::If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures."
"Customweb_OPPCw::If you use Klarna as processor, please specify your the merchant id (EID) of your Klarna account.","If you use Klarna as your processor, please specify your merchant ID (EID) of your Klarna account."
"Customweb_OPPCw::If you use Klarna as processor, this setting controls the display of the conditions element. If you fulfill the Klarna requirements of displaying all necessary information in another way, and Klarna has recognized this, you may deactivate this option.","If you use Klarna as processor, this setting controls the display of the conditions element. If you fulfill the Klarna requirements of displaying all necessary information in another way, and Klarna has recognized this, you may deactivate this option."
"Customweb_OPPCw::If you wish to use a custom style, you may either automatically detect your shop style (dynamic styling), or define the CSS above. You can either use in-line css with the 'Inline Style'-setting, or reference defined classes using the 'Classes'-setting.","If you wish to use a custom style, you may either automatically detect your shop style (dynamic styling), or define the CSS above. You can either use in-line css with the 'Inline Style'-setting, or reference defined classes using the 'Classes'-setting."
"Customweb_OPPCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our Magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_OPPCw::Iframe Height","Iframe Height"
"Customweb_OPPCw::Image Brand Selection","Image Brand Selection"
"Customweb_OPPCw::In case ajax authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","In case ajax authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands."
"Customweb_OPPCw::In case the security hash option is enabled, the hash secret is required.","In case the security hash option is enabled, the hash secret is required."
"Customweb_OPPCw::In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization.","In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization."
"Customweb_OPPCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"Customweb_OPPCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is on hold until the transaction reaches the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Customweb_OPPCw::Inactive","Inactive"
"Customweb_OPPCw::Incl. Tax","Incl. Tax"
"Customweb_OPPCw::Information","Information"
"Customweb_OPPCw::Inline Style","Inline Style"
"Customweb_OPPCw::Instructions","Instructions"
"Customweb_OPPCw::Integrator Test Mode","Integrator Test Mode"
"Customweb_OPPCw::Internal","Internal (The payment information will not be sent to the acquiring bank)."
"Customweb_OPPCw::Invalid login or password.","Invalid login or password."
"Customweb_OPPCw::Invoice Appendix","Invoice Appendix"
"Customweb_OPPCw::Invoice Delivery Method","Invoice Delivery Method"
"Customweb_OPPCw::Invoice Items","Invoice Items"
"Customweb_OPPCw::Invoice Settlement","Invoice Settlement"
"Customweb_OPPCw::Invoice Totals","Invoice Totals"
"Customweb_OPPCw::Invoice settlement","Invoice settlement"
"Customweb_OPPCw::Invoice was created successfully","Invoice was successfully created"
"Customweb_OPPCw::Invoices","Invoices"
"Customweb_OPPCw::Issue Number","Issue Number"
"Customweb_OPPCw::It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Customweb_OPPCw::Italy","Italy (IT)"
"Customweb_OPPCw::Item","Item"
"Customweb_OPPCw::Items","Items"
"Customweb_OPPCw::Items Refunded","Items Refunded"
"Customweb_OPPCw::JCB","JCB"
"Customweb_OPPCw::Key / Hash did not match","Key / Hash did not match"
"Customweb_OPPCw::Klarna","Klarna"
"Customweb_OPPCw::Klarna (supports Hidden Authorization)","Klarna (supports Hidden Authorization)"
"Customweb_OPPCw::Klarna (supports Payment Page)","Klarna (supports Payment Page)"
"Customweb_OPPCw::Klarna: Conditions","Klarna: Conditions"
"Customweb_OPPCw::Klarna: Merchant ID","Klarna: Merchant ID"
"Customweb_OPPCw::Last name","Last name"
"Customweb_OPPCw::Legal note","Legal note"
"Customweb_OPPCw::Live HMAC Key","Live HMAC Key"
"Customweb_OPPCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_OPPCw::Live Mode","Live Mode"
"Customweb_OPPCw::Live Password","Live Password"
"Customweb_OPPCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_OPPCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_OPPCw::Logging","Logging"
"Customweb_OPPCw::Login","Login"
"Customweb_OPPCw::Login & Register","Login & Register"
"Customweb_OPPCw::Login and password are required.","Login and password are required."
"Customweb_OPPCw::Maestro","Maestro"
"Customweb_OPPCw::Mail Order / Telephone Order (MoTo)","Mail Order/Telephone Order (MoTo)"
"Customweb_OPPCw::Mail order/telephone order authorization","Mail order/telephone order authorization"
"Customweb_OPPCw::Male","Male"
"Customweb_OPPCw::Manage Stores","Manage Stores"
"Customweb_OPPCw::Manage Open Payment Platform Aliases","Manage Open Payment Platform Aliases"
"Customweb_OPPCw::Mandate","Mandate"
"Customweb_OPPCw::Mandate (@identification)","Mandate (@identification)"
"Customweb_OPPCw::Mandate text","Mandate text"
"Customweb_OPPCw::MasteCcard (Debit)","MasterCard (Debit)"
"Customweb_OPPCw::MasterCard","MasterCard"
"Customweb_OPPCw::Maximum Order Total","Maximal order total"
"Customweb_OPPCw::Merchant ID","Merchant ID"
"Customweb_OPPCw::Merchant Name","Merchant Name"
"Customweb_OPPCw::Message","Message"
"Customweb_OPPCw::Method Title","Method Title"
"Customweb_OPPCw::Minimum Order Total","Minimum order total"
"Customweb_OPPCw::Mit der ??bermittlung der f??r die Abwicklung des Rechnungskaufes und einer Identit??ts- und Bonit??tspr??fung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung f??r die Zukunft widerrufen.","Mit der ??bermittlung der f??r die Abwicklung des Rechnungskaufes und einer Identit??ts- und Bonit??tspr??fung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung f??r die Zukunft widerrufen."
"Customweb_OPPCw::Month","Month"
"Customweb_OPPCw::My Open Payment Platform Aliases","My Open Payment Platform Aliases"
"Customweb_OPPCw::Narrative Text 1st line","Narrative Text 1st line"
"Customweb_OPPCw::Narrative Text 2nd line","Narrative Text 2nd line"
"Customweb_OPPCw::Narrative Text 3rd line","Narrative Text 3rd line"
"Customweb_OPPCw::Netherlands","Netherlands (NL)"
"Customweb_OPPCw::New Order","New Order"
"Customweb_OPPCw::New Order Status","New order status"
"Customweb_OPPCw::New card","New card"
"Customweb_OPPCw::Next Update Execution Date","Next Update Execution Date"
"Customweb_OPPCw::No","No"
"Customweb_OPPCw::No BIC provided.","No BIC provided."
"Customweb_OPPCw::No IBAN provided.","No IBAN provided."
"Customweb_OPPCw::No Items","No Items"
"Customweb_OPPCw::No Name Provided","No Name Provided"
"Customweb_OPPCw::No additional payment information available.","No additional payment information available"
"Customweb_OPPCw::No authorization method found for payment method !method.","No authorization method found for payment method !method."
"Customweb_OPPCw::No button returned.","No button returned."
"Customweb_OPPCw::No channel id is set for the payment method '!paymentMethodName'.","No channel ID is set for the payment method '!paymentMethodName'."
"Customweb_OPPCw::No item type set.","No item type set."
"Customweb_OPPCw::No payment methods have been configured for the generic method.","No payment methods have been configured for the generic method."
"Customweb_OPPCw::No redirect URL provided. Contact Open Payment Platform.","No redirect URL provided. Contact Open Payment Platform."
"Customweb_OPPCw::No redirection URL provided. Contact Open Payment Platform.","No redirection URL provided. Contact Open Payment Platform."
"Customweb_OPPCw::No refund possible.","No refund possible"
"Customweb_OPPCw::No response has been received.","No response has been received."
"Customweb_OPPCw::No shipping method needed.","No shipping method needed."
"Customweb_OPPCw::No, use the dropdown.","No, use the dropdown menu."
"Customweb_OPPCw::None","None"
"Customweb_OPPCw::None (processing by merchant)","None (processing by merchant)"
"Customweb_OPPCw::None (processing by merchant, supports Server Authorization)","None (processing by merchant, supports Server Authorization)"
"Customweb_OPPCw::Notification types","Notification types"
"Customweb_OPPCw::Only an authorized transaction can be marked as finally declined.","Only authorized transactions can be marked as finally declined."
"Customweb_OPPCw::Only an uncertain transaction can be marked as finally declined.","Only uncertain transactions can be marked as finally declined."
"Customweb_OPPCw::Only authorized transaction can be cancelled.","Only authorised transaction can be cancelled."
"Customweb_OPPCw::Only authorized transaction can be captured.","Only authorised transactions can be captured."
"Customweb_OPPCw::Only authorized transaction can be refunded.","Only authorised transaction can be refunded."
"Customweb_OPPCw::Only captured transaction can be refunded.","Only captured transaction can be refunded."
"Customweb_OPPCw::Only on captured transaction the flag customer refusing to pay can be set.","It is only possible to set a flag for customers refusing to pay on captured transactions."
"Customweb_OPPCw::Operation Mode","Operation mode"
"Customweb_OPPCw::Order #","Order Number"
"Customweb_OPPCw::Order Grand Total","Order Grand Total"
"Customweb_OPPCw::Order Information","Order Information"
"Customweb_OPPCw::Order Prefix","Order Prefix"
"Customweb_OPPCw::Order Review","Order Review"
"Customweb_OPPCw::Order Summary","Order Summary"
"Customweb_OPPCw::Order Total","Order total"
"Customweb_OPPCw::Order cancelled, because the customer was too long in the payment process of Open Payment Platform.","Order cancelled because the customer was in the payment process of Open Payment Platform for too long."
"Customweb_OPPCw::Order prefix","Order prefix"
"Customweb_OPPCw::Order was placed using %s","Order was placed using %s"
"Customweb_OPPCw::Orders","Orders"
"Customweb_OPPCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Orders, with payments that have been pending for longer than the specified time-out in minutes, are cancelled automatically. To use this feature you have to setup the Magento cron."
"Customweb_OPPCw::Page Style Name","Page Style Name"
"Customweb_OPPCw::Paid Amount","Paid Amount"
"Customweb_OPPCw::Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Customweb_OPPCw::Partial refund not possible. You may retry with the total transaction amount.","Partial refund not possible. The sum is larger than the total captured amount."
"Customweb_OPPCw::Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Customweb_OPPCw::Password","Password"
"Customweb_OPPCw::Password and password confirmation are not equal.","""Password"" and ""Password Confirmation"" don't match."
"Customweb_OPPCw::Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Customweb_OPPCw::Payment","Payment"
"Customweb_OPPCw::Payment ID","Payment ID"
"Customweb_OPPCw::Payment Id","Payment ID"
"Customweb_OPPCw::Payment Information","Payment Information"
"Customweb_OPPCw::Payment Method","Payment Method"
"Customweb_OPPCw::Payment Methods","Payment Methods"
"Customweb_OPPCw::Payment captured successfully.","Payment captured successfully"
"Customweb_OPPCw::Payment could not be authorized. Cancelling order. Reason :","Payment could not be authorised. Order is being cancelled for the reason:"
"Customweb_OPPCw::Payment details can be entered after placing the order","Payment details can be entered after placing the order"
"Customweb_OPPCw::Payment from Applicable Countries","Payment from applicable countries"
"Customweb_OPPCw::Payment from Specific Countries","Payment from specific countries"
"Customweb_OPPCw::Payment from applicable countries","Payment from applicable countries"
"Customweb_OPPCw::Payment from specific countries","Payment from specific countries"
"Customweb_OPPCw::Payment is pending at OPPCw","Payment is pending with OPPCw"
"Customweb_OPPCw::Payment method description","Payment method description"
"Customweb_OPPCw::Payment with %s","Payment with %s"
"Customweb_OPPCw::Payment with Open Payment Platform","Payment with Open Payment Platform"
"Customweb_OPPCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","The state of the payment will be be updated periodically (interval in minutes) via API if activated. To use this feature you have to setup Magento cron."
"Customweb_OPPCw::Payolution","Payolution"
"Customweb_OPPCw::Payolution (Server Authorization)","Payolution (Server Authorization)"
"Customweb_OPPCw::Payolution (supports Server Authorization)","Payolution (supports Server Authorization)"
"Customweb_OPPCw::Payolution - Due Date","Payolution - Due Date"
"Customweb_OPPCw::Payolution - Reference","Payolution - Reference"
"Customweb_OPPCw::Payolution - Transaction ID","Payolution - Transaction ID"
"Customweb_OPPCw::Payolution - Trusted Shop","Payolution - Trusted Shop"
"Customweb_OPPCw::Payolution - Workorder ID","Payolution - Workorder ID"
"Customweb_OPPCw::Payolution terms","Payolution terms"
"Customweb_OPPCw::Pending","Pending"
"Customweb_OPPCw::Pending OPPCw","Pending OPPCw"
"Customweb_OPPCw::Person (DE only)","Person (DE only)"
"Customweb_OPPCw::Phone","Phone"
"Customweb_OPPCw::Phone Number","Phone number"
"Customweb_OPPCw::Place Order","Place Order"
"Customweb_OPPCw::Plain","Plain"
"Customweb_OPPCw::Please accept the terms and conditions.","Please accept the terms and conditions."
"Customweb_OPPCw::Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Customweb_OPPCw::Please check the entered CVC number.","Please check the entered CVC number."
"Customweb_OPPCw::Please check the entered credit card number.","Please check the entered credit card number."
"Customweb_OPPCw::Please enter here the Bank Identifier Code (BIC).","Please enter here the Bank Identifier Code (BIC)."
"Customweb_OPPCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Please enter the CVC code from your card. You can find the code on the back of the card."
"Customweb_OPPCw::Please enter here the International Bank Account Number (IBAN).","Please enter here the International Bank Account Number (IBAN)."
"Customweb_OPPCw::Please enter here the account holder name on the card.","Please enter here the account holder name on the card."
"Customweb_OPPCw::Please enter here the account holder name.","Please enter here the account holder name."
"Customweb_OPPCw::Please enter here the account number of your bank account.","Please enter here the International Bank Account Number (IBAN)."
"Customweb_OPPCw::Please enter here the bank code of your bank.","Please enter here the bank code of your bank"
"Customweb_OPPCw::Please enter here the card holder name on the card.","Please enter the card holder's name."
"Customweb_OPPCw::Please enter here the commercial number of your company.","Please enter the commercial number of your company."
"Customweb_OPPCw::Please enter here the name of the account owner.","Please enter the name of the account owner"
"Customweb_OPPCw::Please enter here the number on your card.","Please enter your card number."
"Customweb_OPPCw::Please enter here the sales tax number of your company.","Please enter here the sales tax number of your company."
"Customweb_OPPCw::Please enter here your gender.","Please enter your gender here."
"Customweb_OPPCw::Please enter here your phone number.","Please enter your phone number here."
"Customweb_OPPCw::Please enter here your social security number.","Please enter your social security number."
"Customweb_OPPCw::Please enter the location of your bank.","Please enter the location of your bank."
"Customweb_OPPCw::Please enter the name of your bank.","Please enter the name of your bank."
"Customweb_OPPCw::Please enter your IBAN number.","Please enter your IBAN number."
"Customweb_OPPCw::Please enter your gender.","Please enter your gender."
"Customweb_OPPCw::Please enter your issue number, if there is no CVC code on your card.","Please enter your issue number, if there is no CVC code on your card."
"Customweb_OPPCw::Please enter your phone number.","Please enter your phone number."
"Customweb_OPPCw::Please fill out the form completely","Please fill out the form completely"
"Customweb_OPPCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_OPPCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Please empty or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support"
"Customweb_OPPCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_OPPCw::Please log in below:","Please log in below:"
"Customweb_OPPCw::Please pay the order to the following account.","Please pay the order to the following account."
"Customweb_OPPCw::Please read and accept the terms and conditions.","Please read and accept the terms and conditions."
"Customweb_OPPCw::Please select","Please select"
"Customweb_OPPCw::Please select a shipping method before sending the order.","Please select a shipping method before sending the order."
"Customweb_OPPCw::Please select a shipping provider.","Please select a shipping provider."
"Customweb_OPPCw::Please select the Bank Identifier Code (BIC) of your bank.","Please select the Bank Identifier Code (BIC) of your bank."
"Customweb_OPPCw::Please select the day of your birth.","Please select the day of your birth."
"Customweb_OPPCw::Please select the expiry month on your card.","You have to enter the month of the card expiry"
"Customweb_OPPCw::Please select the expiry year on your card.","Please select your card's year of expiry."
"Customweb_OPPCw::Please select the month of your birth.","Please select the month of your birth."
"Customweb_OPPCw::Please select the point in the checkout process when the different checks should be processed.","Please select the point in the checkout process when the different checks should be processed."
"Customweb_OPPCw::Please select the processor by which the invoice should be processed.","Please select the processor by which the invoice should be processed."
"Customweb_OPPCw::Please select the the year of your birth.","Please select the the year of your birth."
"Customweb_OPPCw::Please specify the merchant id (EID) of your Klarna account.","Please specify the merchant id (EID) of your Klarna account."
"Customweb_OPPCw::Please wait, processing your order...","Please wait, processing your order..."
"Customweb_OPPCw::Please wait...","Please wait..."
"Customweb_OPPCw::Poland","Poland"
"Customweb_OPPCw::Portal ID","Portal ID"
"Customweb_OPPCw::Postal code","Postal code"
"Customweb_OPPCw::Price","Price"
"Customweb_OPPCw::Process ID","Process ID"
"Customweb_OPPCw::Processor","Processor"
"Customweb_OPPCw::Product","Product"
"Customweb_OPPCw::Product Name","Product name"
"Customweb_OPPCw::Proposed address changes","Proposed address changes"
"Customweb_OPPCw::Purchase Point","Point of Purchase"
"Customweb_OPPCw::Qty","Qty"
"Customweb_OPPCw::Quantity can not be larger than 999.","Quantity can not be larger than 999."
"Customweb_OPPCw::Received 'paid' action, however amount was incorrect (!actual instead of !expected).","Received 'paid' action, however amount was incorrect (!actual instead of !expected)."
"Customweb_OPPCw::Received message with action @action.","Received message with action @action."
"Customweb_OPPCw::Recurring Payments","Recurring Payments"
"Customweb_OPPCw::Red","Red"
"Customweb_OPPCw::Redirection was required to url @url.","Redirection was required to url @url."
"Customweb_OPPCw::Reference No.","Reference No."
"Customweb_OPPCw::Refund (announcement) is only available for the full order, not only parts.","Refund (announcement) is only available for the full order, not only parts."
"Customweb_OPPCw::Refund Amount","Refunded amount"
"Customweb_OPPCw::Refund ID","Refund ID"
"Customweb_OPPCw::Refund amount","Refunded amount"
"Customweb_OPPCw::Refund information","Refund information"
"Customweb_OPPCw::Refund status","Refund status"
"Customweb_OPPCw::Refunded Amount","Refunded amount"
"Customweb_OPPCw::Refunds","Credit Memo"
"Customweb_OPPCw::Register","Register"
"Customweb_OPPCw::Register to Create an Account","Register to create an account"
"Customweb_OPPCw::Register with us for future convenience:","Register with us for future convenience:"
"Customweb_OPPCw::Release Date","Release Date"
"Customweb_OPPCw::Review","Review"
"Customweb_OPPCw::Risk Based Capture","Risk Based Capture"
"Customweb_OPPCw::Rounding Adjustment","Rounding Adjustments"
"Customweb_OPPCw::Rounding Fee","Rounding Fee"
"Customweb_OPPCw::Row Total","Row Total"
"Customweb_OPPCw::SEPA Mandate ID","SEPA Mandate ID"
"Customweb_OPPCw::SKU:","SKU:"
"Customweb_OPPCw::Sales","Sales"
"Customweb_OPPCw::Sales Tax Number","Sales Tax Number"
"Customweb_OPPCw::Save","Save"
"Customweb_OPPCw::Saved cards:","Saved cards:"
"Customweb_OPPCw::Score","Score"
"Customweb_OPPCw::Scoring check executed","Scoring check executed"
"Customweb_OPPCw::Scoring check maximum","Scoring check maximum"
"Customweb_OPPCw::Scoring check minimum","Scoring check minimum"
"Customweb_OPPCw::Secret Key","Secret Key"
"Customweb_OPPCw::Secret for Encryption","Secret for Encryption"
"Customweb_OPPCw::Secret key","Secret key"
"Customweb_OPPCw::Security Hash","Security Hash"
"Customweb_OPPCw::Security Hash Secret","Security Hash"
"Customweb_OPPCw::Security Sender","Security Sender"
"Customweb_OPPCw::See order and shipping status","See order and shipping status"
"Customweb_OPPCw::Select 'ALL'","Select 'ALL'"
"Customweb_OPPCw::Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS.","Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS."
"Customweb_OPPCw::Select Brand","Select card brand"
"Customweb_OPPCw::Select Method","Select Method"
"Customweb_OPPCw::Select the authorization method to use for processing this payment method.","Select the authorisation method to use in order to process this payment method. (Please be aware that the hidden mode for credit cards (if available) requires additional PCI certification requirements. Contact Open Payment Platform for additional information)."
"Customweb_OPPCw::Select the date of your birth.","Select your date of birth."
"Customweb_OPPCw::Select the date on which your card expires.","Select the expiry date of your card."
"Customweb_OPPCw::Select the hash calculation method to use. This value must correspond with the selected value in the back-end of Open Payment Platform.","Select the hash calculation method to use. This value must correspond with the selected value in the back-end of Open Payment Platform."
