"Customweb_OPPCw::* Required Fields","* campo obbligatorio"
"Customweb_OPPCw::The transaction is only executed in the test system. The goods should not be delivered.","La transazione viene eseguita solo nel sistema di test. Le merci non devono essere consegnate."
"Customweb_OPPCw::The transaction reaches an invalid state, because the response of Open Payment Platform does corresponds to the specification. Most likely your account is misconfigured (e.g. wrong entity ID).","The transaction reaches an invalid state, because the response of Open Payment Platform does corresponds to the specification. Most likely your account is misconfigured (e.g. wrong entity ID)."
"Customweb_OPPCw::The transaction was cancelled by the user.","The transaction was cancelled by the user."
"Customweb_OPPCw::The unit price is invalid.","The unit price is invalid."
"Customweb_OPPCw::The unit price is missing.","The unit price is missing."
"Customweb_OPPCw::The user ID is provided by Open Payment Platform.","L' user ID é fornito da Open Payment Platform."
"Customweb_OPPCw::The validation at step authorize is not supported for ajax and hidden authorization","The validation at step authorize is not supported for ajax and hidden authorization"
"Customweb_OPPCw::The whole transaction is cancelled.","L'intera transazione é stata annullata."
"Customweb_OPPCw::The width of the iframe containing the input field.","The width of the iframe containing the input field."
"Customweb_OPPCw::There has been a problem during the processing of your payment.","C'é stato un problema durante l'elaborazione del tuo pagamento."
"Customweb_OPPCw::There has been a problem during the processing of your payment. Please contact the shop owner to make sure your order was placed successfully.","Si é verificato un problema durante l'elaborazione del pagamento. Si prega di contattare il proprietario del negozio per assicurarsi che il vostro ordine sia stato effettuato con successo."
"Customweb_OPPCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %1","Si é verificato un problema con la tua licenza. Ti preghiamo di contattarci (www.sellxed.com/support). Reason: %1"
"Customweb_OPPCw::There is a problem with your license. Please contact us (www.sellxed.com/support). Reason: %s","C'é un problema con la tua licenza. Contattaci (www.sellxed.com/support). Causa : %s"
"Customweb_OPPCw::There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Questo indirizzo email é già registrato. Effettua il login o inserisci un nuovo indirizzo email per creare un account."
"Customweb_OPPCw::There is some information missing.","There is some information missing."
"Customweb_OPPCw::There seems to be a problem with the Open Payment Platform module.","Sembra esserci un problema con il modulo Open Payment Platform."
"Customweb_OPPCw::There was an error validating the login and password.","C'è stato un errore durante la convalida del login e password."
"Customweb_OPPCw::This URL has to be entered in the backend of Open Payment Platform as TransactionStatus URL.","This URL has to be entered in the backend of Open Payment Platform as TransactionStatus URL."
"Customweb_OPPCw::This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","Questo account non é confermato. <a href=""%s"">Clicca qui</a> per rimandare l'email di conferma."
"Customweb_OPPCw::This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed.","This is a brief installation instruction of the main and most important installation steps. It is important that you strictly follow the check-list. Only by doing so, the secure usage in correspondence with all security regulations can be guaranteed."
"Customweb_OPPCw::This is a brief instruction of the main and most important installation steps, which need to be performed when installing the Open Payment Platform module. For detailed instructions regarding additional and optional settings, please refer to the enclosed instructions in the zip.","Questa é una breve istruzione delle fasi di installazione più importanti, che devono essere eseguite quando si installa il modulo Open Payment Platform. Per istruzioni dettagliate relative alle impostazioni aggiuntive e opzionali, consultare le istruzioni allegate nello zip."
"Customweb_OPPCw::This message is returned by Open Payment Platform for this transaction.","Questo messaggio é inviato da Open Payment Platform per questa transazione."
"Customweb_OPPCw::This message is shown to the customer, when he fails to pass the solvency check.","This message is shown to the customer, when he fails to pass the solvency check."
"Customweb_OPPCw::This message is shown to the customer, when the system of Open Payment Platform is not reachable or unavailable.","This message is shown to the customer, when the system of Open Payment Platform is not reachable or unavailable."
"Customweb_OPPCw::This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Open Payment Platform account.","This password is used for recurring payments and for the alias manager as well as for the server authorization. This is the password of the Open Payment Platform account."
"Customweb_OPPCw::This payment method is unavailable.","This payment method is unavailable."
"Customweb_OPPCw::This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page.","This setting can be used to activate resp. deactivate the 3D secure check. Please check with PayBox if you are allowed to deactivate the 3D secure check. This setting has only an effect when you use the payment page."
"Customweb_OPPCw::This status is set, when the payment was successfull and it is authorized.","Questo status é selezionato quando il pagamento ha avuto esito positivo ed è autorizzato."
"Customweb_OPPCw::This transaction is already closed for further captures.","Questa transazione é già chiusa."
"Customweb_OPPCw::This transaction is already closed for further refunds.","Questa transazione é stata chiusa e non sono più possibili rimborsi."
"Customweb_OPPCw::This transaction no longer exists.","La transazione non esiste più."
"Customweb_OPPCw::Timeout for pending payments (min)","Timeout per i pagamenti in sospeso"
"Customweb_OPPCw::Titel","Titolo"
"Customweb_OPPCw::Title","Title"
"Customweb_OPPCw::Title of the payment method","Nome del metodo di pagamento"
"Customweb_OPPCw::To use the Klarna payment method, please specify the Klarna merchant id (EID).","To use the Klarna payment method, please specify the Klarna merchant id (EID)."
"Customweb_OPPCw::To use the Klarna payment method, the billing and shipping addresses must not differ.","To use the Klarna payment method, the billing and shipping addresses must not differ."
"Customweb_OPPCw::To use this payment method you need to add a state to your address.","Per utilizzare questo metodo di pagamento é necessario aggiungere uno stato all' indirizzo."
"Customweb_OPPCw::Total","Totale"
"Customweb_OPPCw::Total Shipping Charges","Totale spese di trasporto"
"Customweb_OPPCw::Track order history","Traccia lo storico dell'ordine"
"Customweb_OPPCw::Transaction","tbcl_oppcw_transaction_view"
"Customweb_OPPCw::Transaction Authorized","Transazione autorizzata"
"Customweb_OPPCw::Transaction Cancelled","Transazione annullata"
"Customweb_OPPCw::Transaction Captured","Transazione registrata"
"Customweb_OPPCw::Transaction History","Storico della transazione"
"Customweb_OPPCw::Transaction Id","Transaction ID"
"Customweb_OPPCw::Transaction Paid","La transazione é stata pagata"
"Customweb_OPPCw::Transaction Uncertain","Transazione incerta"
"Customweb_OPPCw::Transaction Updates","Transaction Updates"
"Customweb_OPPCw::Transaction cancelled successfully","La transazione é stata annullata con successo."
"Customweb_OPPCw::Transaction captured successfully","Transazione registrata con successo"
"Customweb_OPPCw::Transaction failed with an unkown reason.","Transaction failed with an unkown reason."
"Customweb_OPPCw::Transaction failed with code @code and message @message.","Transaction failed with code @code and message @message."
"Customweb_OPPCw::Transaction failed with code @code.","Transaction failed with code @code."
"Customweb_OPPCw::Transaction history","Sintesi delle transazioni"
"Customweb_OPPCw::Transaction was authorized over the deferred authorization mechanism.","La transazione é stata autorizzata con il meccanismo di autorizzazione differita."
"Customweb_OPPCw::TransactionStatus URL","TransactionStatus URL"
"Customweb_OPPCw::Transactions","Transazioni"
"Customweb_OPPCw::Unable to save the invoice.","Impossibile salvare la fattura."
"Customweb_OPPCw::Uncertain Status","Status incerto"
"Customweb_OPPCw::Uncertain scoring","Uncertain scoring"
"Customweb_OPPCw::Uncertain transactions","Transazioni incerte"
"Customweb_OPPCw::Unexpected transaction context type.","Unexpected transaction context type."
"Customweb_OPPCw::Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order.","Unfortunately, we cannot handle this purchase via Klarna. Please select an alternative payment method to complete your order."
"Customweb_OPPCw::United Kingdom","Regno Unito"
"Customweb_OPPCw::Unknown error occurred while processing your request.","Unknown error occurred while processing your request."
"Customweb_OPPCw::Update","Aggiornamento"
"Customweb_OPPCw::Update Qty's","Regolare la quantità"
"Customweb_OPPCw::Update interval for payments","Intervallo di aggiornamento per i pagamenti"
"Customweb_OPPCw::Use Base Currency","Usa valuta di base"
"Customweb_OPPCw::Use Default","Usare le impostazioni standard"
"Customweb_OPPCw::Use Style","Use Style"
"Customweb_OPPCw::Use base currency","Usa la valuta di base"
"Customweb_OPPCw::User ID","User ID"
"Customweb_OPPCw::User Id","User ID"
"Customweb_OPPCw::User Password","Password dell'utente"
"Customweb_OPPCw::V PAY","V PAY"
"Customweb_OPPCw::VISA","VISA"
"Customweb_OPPCw::VISA (Debit)","VISA (Debit)"
"Customweb_OPPCw::VISA Electron","VISA Electron"
"Customweb_OPPCw::Validation","Validazione"
"Customweb_OPPCw::Validation: The amounts do not match.","Validation: The amounts do not match."
"Customweb_OPPCw::Validation: The currencies do not match.","Validation: The currencies do not match."
"Customweb_OPPCw::Validation: The payment brands do not match.","Validation: The payment brands do not match."
"Customweb_OPPCw::Validation: The payment types do not match.","Validation: The payment types do not match."
"Customweb_OPPCw::Version","Versione"
"Customweb_OPPCw::Version 1 (Classic)","Version 1 (Classic)"
"Customweb_OPPCw::Version 2 (PCI DSS SAQ A)","Version 2 (PCI DSS SAQ A)"
"Customweb_OPPCw::View","Visualizza"
"Customweb_OPPCw::Visa","Visa"
"Customweb_OPPCw::Wait On Success Page","Aspetta sulla pagina di successo"
"Customweb_OPPCw::Waiting for bank","In attesa della banca"
"Customweb_OPPCw::Waiting for client payment","In attesa del pagamento del cliente"
"Customweb_OPPCw::Waiting for risk management","Attesa per la gestione del rischio"
"Customweb_OPPCw::We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order.","We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because of various (temporary) reasons. We advise you to choose a different payment method to complete your order."
"Customweb_OPPCw::We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order.","We are sorry to have to inform you that your request for AfterPay Open Invoice on your order is not accepted by AfterPay. This is because one or more fields appeared to be incorrect. We advise you to check all entered values and try again or choose a different payment method to complete your order."
"Customweb_OPPCw::We cannot get the transaction instance.","Non possiamo stabilire una transazione."
"Customweb_OPPCw::We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Si é verificato un problema con l'estensione del tuo pagamento sellxed . Per maggiori informazioni, si prega di visitare la pagina di configurazione del Open Payment Platform plugin."
"Customweb_OPPCw::Webhook Secret Key","Webhook Secret Key"
"Customweb_OPPCw::Webhook URL","Webhook URL"
"Customweb_OPPCw::When the store is not available (network outage, server failure or any other outage), when the feedback of Open Payment Platform is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of Open Payment Platform is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"Customweb_OPPCw::When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Quando si utilizza un checkout esterno, può essere chiesto al cliente di scegliere l'opzione di autenticazione (come ospite, registrato o login) oppure può sempre fare il checkout come ospite. Affinché  la seconda opzione funzioni, il checkout come ospite deve essere abilitato in Magento."
"Customweb_OPPCw::Wrapper for encrypted notifcation","Wrapper for encrypted notifcation"
"Customweb_OPPCw::Year","Anno"
"Customweb_OPPCw::Yellow","Yellow"
"Customweb_OPPCw::Yes","Si"
"Customweb_OPPCw::Yes, use images for the brand selection.","Yes, use images for the brand selection."
"Customweb_OPPCw::You can allow the customers to manage/delete their aliases in the their account.","Puoi permettere ai clienti di gestire/eliminare il loro alias nel loro account."
"Customweb_OPPCw::You can change this brand code, if your PSP supports different countries for this payment method","You can change this brand code, if your PSP supports different countries for this payment method"
"Customweb_OPPCw::You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks.","You can configure under the Webhook in the backend of Open Payment Platform under Administration > Webhooks."
"Customweb_OPPCw::You can decide on the order status new orders should have after they are processed successfully.","Definire lo stato dell'ordine per i nuovi ordini, che sono stati trattati con successo."
"Customweb_OPPCw::You can decide on the order status new orders should have that have an uncertain authorization status.","Definire lo stato dell'ordine per i nuovi ordini che hanno uno status incerto."
"Customweb_OPPCw::You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line.","You can define custom parameters that are sent to the PSP with every request. Syntax: ""customParameters[RISK_MID]=123123"", one parameter per line."
"Customweb_OPPCw::You can restrict the available countries. If no country is selected all available will be shown.","You can restrict the available countries. If no country is selected all available will be shown."
"Customweb_OPPCw::You can specify the order status for new orders that have an uncertain authorisation status.","E' possibile specificare lo stato dell'ordine per i nuovi ordini che hanno uno stato di autorizzazione incerto."
"Customweb_OPPCw::You can specify the order status for orders that are approved after being in a uncertain state.","È possibile specificare lo stato dell'ordine per gli ordini che sono stati approvati dopo essere stato in uno stato incerto."
"Customweb_OPPCw::You can specify the order status for orders that are captured either directly after the order or manually in the backend.","È possibile specificare lo stato dell'ordine per gli ordini che vengono registrati subito dopo l'ordine o manualmente nel backend."
"Customweb_OPPCw::You can specify the order status for orders that are denied after being in a uncertain state.","È possibile specificare lo stato dell'ordine per gli ordini che vengono negati dopo essere stato in uno stato incerto."
"Customweb_OPPCw::You can specify the order status when an order is cancelled.","È possibile specificare lo stato dell'ordine quando un ordine viene annullato."
"Customweb_OPPCw::You can specify the secret key during the setup of the webhook.","You can specify the secret key during the setup of the webhook."
"Customweb_OPPCw::You can switch between the different environments, by selecting the corresponding operation mode.","E' possibile passare dalla modalità live a quella test selezionando la modalità operativa appropriata."
"Customweb_OPPCw::You can switch between the different test modes.","You can switch between the different test modes."
"Customweb_OPPCw::You can use a custom JavaScript file on the payment page and iframe authorization.","È possibile utilizzare un file JavaScript personalizzato nella pagina di pagamento e l'autorizzazione iFrame."
"Customweb_OPPCw::You can use a custom cancel button image for the payment page and iframe authorization.","È possibile utilizzare un pulsante personalizzato per cancellare la pagina di pagamento e l'autorizzazione iFrame."
"Customweb_OPPCw::You can use a custom css file on the payment page and iframe authorization.","È possibile utilizzare un file CSS personalizzato nella pagina di pagamento e l'autorizzazione iFrame."
"Customweb_OPPCw::You can use a custom pay button image for the payment page and iframe authorization.","È possibile utilizzare un pulsante paga personalizzato per la pagina di pagamento e l'autorizzazione iframe."
"Customweb_OPPCw::You created the order.","Hai creato questo ordine."
"Customweb_OPPCw::You do not specify yet a user id. Please specify in the main configurations a user id.","You do not specify yet a user id. Please specify in the main configurations a user id."
"Customweb_OPPCw::You do not specify yet a user password. Please specify in the main configurations a user password.","You do not specify yet a user password. Please specify in the main configurations a user password."
"Customweb_OPPCw::You do not specify yet the global entity ID. Please specify in the main configurations a global entity id.","You do not specify yet the global entity ID. Please specify in the main configurations a global entity id."
"Customweb_OPPCw::You have no stored aliases.","Non hai nessun alias memorizzato."
"Customweb_OPPCw::You have to enter a card number.","SI prega di inserire il numero della carta di credito."
"Customweb_OPPCw::You have to enter bank code of your bank.","Si prega di inserire il codice delle tua banca"
"Customweb_OPPCw::You have to enter commercial number of you company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"Customweb_OPPCw::You have to enter either the CVC code or the issue number of your card.","Si prega di inserire il codice CVC o il numero di emissione della carta."
"Customweb_OPPCw::You have to enter sales tax number of you company.","SI prega di inserire il numero di partita IVA."
"Customweb_OPPCw::You have to enter sales tax number of your company.","È necessario inserire il numero di imposta sulle vendite della tua azienda."
"Customweb_OPPCw::You have to enter the BIC.","Si prega di inserire il BIC della tua banca."
"Customweb_OPPCw::You have to enter the CVC code from your card.","Si prega di inserire il CVC della carta di credito."
"Customweb_OPPCw::You have to enter the IBAN.","Si prega di inserire il codice IBAN."
"Customweb_OPPCw::You have to enter the account holder name on the card.","Si prega di inserire il nome del titolare del conto come scritto sulla carta."
"Customweb_OPPCw::You have to enter the account holder name.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"Customweb_OPPCw::You have to enter the card holder name on the card.","Si prega di inserire il nome del proprietario della carta."
"Customweb_OPPCw::You have to enter the location of your bank.","Si prega di inserire la posizione della banca."
"Customweb_OPPCw::You have to enter the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"Customweb_OPPCw::You have to enter the name of your bank.","Si prega di indicare il nome della banca."
"Customweb_OPPCw::You have to enter your IBAN Number.","Si prega di inserire il codice IBAN."
"Customweb_OPPCw::You have to enter your bank account number.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Customweb_OPPCw::You have to enter your gender.","Devi inserire il tuo sesso."
"Customweb_OPPCw::You have to enter your social security number.","Si prega di inserire il numero di sicurezza sociale."
"Customweb_OPPCw::You may choose one of the cards you paid before on this site.","È possibile scegliere una delle schede usate in precedenza:"
"Customweb_OPPCw::You may choose one of your stored payment details.","È possibile scegliere uno dei tuoi dati di pagamento memorizzati."
"Customweb_OPPCw::You must accept the terms of the mandate.","You must accept the terms of the mandate."
"Customweb_OPPCw::You must agree to the presented mandate text.","You must agree to the presented mandate text."
"Customweb_OPPCw::You must agree to the terms of service.","You must agree to the terms of service."
"Customweb_OPPCw::You receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be taken, when no specific Entity ID is defined in the payment method settings.","You receive an Entity ID when you create your Open Payment Platform account. The entity ID specified here will be taken, when no specific Entity ID is defined in the payment method settings."
"Customweb_OPPCw::You will be redirect to the order confirmation page.","Verrai reindirizzato alla pagina di conferma dell'ordine."
"Customweb_OPPCw::You've reached the maximum amount of Afterpay paments.","You've reached the maximum amount of Afterpay paments."
"Customweb_OPPCw::Your CoC number is incorrect.","Your CoC number is incorrect."
"Customweb_OPPCw::Your address is invalid or incomplete.","Your address is invalid or incomplete."
"Customweb_OPPCw::Your age is below 18.","Your age is below 18."
"Customweb_OPPCw::Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Il tuo browser non permette l'esecuzione di JavaScript. Si prega di attivare JavaScript nel tuo browser e ricarica questa pagina."
"Customweb_OPPCw::Your email address is invalid or incomplete.","Your email address is invalid or incomplete."
"Customweb_OPPCw::Your order amount is too high.","Your order amount is too high."
"Customweb_OPPCw::Your order amount is too low.","Your order amount is too low."
"Customweb_OPPCw::Your request to use Afterpay has been declined.","Your request to use Afterpay has been declined."
"Customweb_OPPCw::OPPCw Aliases","OPPCw Alias"
"Customweb_OPPCw::____paymentMethodName____","____paymentMethodName____"
"Customweb_OPPCw::Open Payment Platform Aliases","Open Payment Platform Aliases"
"Customweb_OPPCw::Open Payment Platform Error","Errore di Open Payment Platform"
"Customweb_OPPCw::Open Payment Platform Parameters","Impostazioni per Open Payment Platform"
"Customweb_OPPCw::Open Payment Platform Refund Items","Articoli rimborsati Open Payment Platform"
"Customweb_OPPCw::Open Payment Platform Section","Sezione Open Payment Platform"
"Customweb_OPPCw::Open Payment Platform Transactions","Open Payment Platform transazioni"
"Customweb_OPPCw::Open Payment Platform Unique ID","Open Payment Platform Unique ID"
"Customweb_OPPCw::Open Payment Platform sends the invoice to the customer. It can be either send by postal services or by e-mail.","Open Payment Platform sends the invoice to the customer. It can be either send by postal services or by e-mail."
"Customweb_OPPCw::Open Payment Platform:","Open Payment Platform:"
"Customweb_OPPCw::Open Payment Platform: Alias Management","Open Payment Platform: Alias Management"
"Customweb_OPPCw::customweb ltd","customweb SRL"
"Customweb_OPPCw::http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1","http://www.sellxed.com/shop/en/software/manual/index/en/magento-payone-zahlungs-extension.html#chapter_3_1"
"Customweb_OPPCw::md5","md5"
"Customweb_OPPCw::no","no"
"Customweb_OPPCw::or","oppure"
"Customweb_OPPCw::sha2-384","sha2-384"
"Customweb_OPPCw::yes","Si"
