"Customweb_OPPCw::* Required Fields","* Required Fields"
"Customweb_OPPCw::Here you can set the payment information displayed to the customer when paying the merchant directly. You may use {id} as a placeholder for the transaction id. You may use simple html such as &lt;b&gt; to format the information.","Here you can set the payment information displayed to the customer when paying the merchant directly. You may use {id} as a placeholder for the transaction id. You may use simple html such as &lt;b&gt; to format the information."
"Customweb_OPPCw::Here you can set the time that a validation is valid, in hours.","Here you can set the time that a validation is valid, in hours."
"Customweb_OPPCw::Here you can set the type of address check to be used. If 'Person' is selected and the customer is not from Germany, 'Basic' will be used.","Here you can set the type of address check to be used. If 'Person' is selected and the customer is not from Germany, 'Basic' will be used."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method IFrame. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method IFrame. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method Payment Page. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method Payment Page. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method iFrame Authorization (Frontend). Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure 'Frontend-URL PCI DSS SAQ A compliant' is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method iFrame Authorization (Frontend). Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure 'Frontend-URL PCI DSS SAQ A compliant' is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Customweb_OPPCw::Here you can set which solvency ratings are denied. The selected values have higher priority than the ones selected in allow scoring and uncertain scoring.","Here you can set which solvency ratings are denied. The selected values have higher priority than the ones selected in allow scoring and uncertain scoring."
"Customweb_OPPCw::Here you can set which solvency ratings are let through while setting the transaction status to uncertain. The selected values have higher priority than the ones selected in allow scoring but lower priority than the values selected in deny scoring.","Here you can set which solvency ratings are let through while setting the transaction status to uncertain. The selected values have higher priority than the ones selected in allow scoring but lower priority than the values selected in deny scoring."
"Customweb_OPPCw::Here you can set which solvency ratings are let through. The selected values have lower priority than the ones selected in uncertain scoring and deny scoring.","Here you can set which solvency ratings are let through. The selected values have lower priority than the ones selected in uncertain scoring and deny scoring."
"Customweb_OPPCw::Here you may specify which CSS classes should be applied to the input field, if 'Use Style' is set to 'Classes'. These styles must be available to the page displaying the form.","Here you may specify which CSS classes should be applied to the input field, if 'Use Style' is set to 'Classes'. These styles must be available to the page displaying the form."
"Customweb_OPPCw::Hide","Hide"
"Customweb_OPPCw::Hide Conditions","Hide Conditions"
"Customweb_OPPCw::Hosted iFrame Configuration","Hosted iFrame Configuration"
"Customweb_OPPCw::Hungary","Hungary"
"Customweb_OPPCw::I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply.","I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply."
"Customweb_OPPCw::I agree to the presented terms.","I agree to the presented terms."
"Customweb_OPPCw::I want to submit the mandate.","I want to submit the mandate."
"Customweb_OPPCw::IBAN","IBAN"
"Customweb_OPPCw::IBAN number","número IBAN"
"Customweb_OPPCw::IBAN: !iban","IBAN: !iban"
"Customweb_OPPCw::IFrame Height","IFrame Height"
"Customweb_OPPCw::IP could not be retrieved.","IP could not be retrieved."
"Customweb_OPPCw::Identification number: !number","Número de identificación: !number"
"Customweb_OPPCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Si sólo hay una unidad en stock y el pago del cliente (comprando esta unidad) falla, el producto está reservado hasta que la orden esta cancelada (vea la opción de tiempo de espera). Activa esta opción si desea que el producto NO está reservado. Ordenes con un estado de pago fallido o annulado entonces serán canceladas inmediatamente."
"Customweb_OPPCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled."
"Customweb_OPPCw::If it is not applicable leave the field empty.","Si no es aplicable deje el campo vacío."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Si el estado es ""pendiente"" no está claro si la transacción se cancelará con éxito."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Si el estado es ""pendiente"" no está claro si la transacción será capturado con éxito."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Si el estado es ""pendiente"" no está claro si la transacción será devuelto con éxito."
"Customweb_OPPCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"Customweb_OPPCw::If the test mode is used, then the test parameter is used.","If the test mode is used, then the test parameter is used."
"Customweb_OPPCw::If this payment method should support recurring and moto transactions, you have to specify a second channel without 3d secure.","Si desea que esta forma de pago soporta transacciones recurrentes y MoTo, debe introducir un segundo canal sin 3D Secure."
"Customweb_OPPCw::If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure.","If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure."
"Customweb_OPPCw::If you have a specific pagestyle for PayPal, you can specify it here.","If you have a specific pagestyle for PayPal, you can specify it here."
"Customweb_OPPCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information."
"Customweb_OPPCw::If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures."
"Customweb_OPPCw::If you use Klarna as processor, please specify your the merchant id (EID) of your Klarna account.","If you use Klarna as processor, please specify your the merchant id (EID) of your Klarna account."
"Customweb_OPPCw::If you use Klarna as processor, this setting controls the display of the conditions element. If you fulfill the Klarna requirements of displaying all necessary information in another way, and Klarna has recognized this, you may deactivate this option.","If you use Klarna as processor, this setting controls the display of the conditions element. If you fulfill the Klarna requirements of displaying all necessary information in another way, and Klarna has recognized this, you may deactivate this option."
"Customweb_OPPCw::If you wish to use a custom style, you may either automatically detect your shop style (dynamic styling), or define the CSS above. You can either use in-line css with the 'Inline Style'-setting, or reference defined classes using the 'Classes'-setting.","If you wish to use a custom style, you may either automatically detect your shop style (dynamic styling), or define the CSS above. You can either use in-line css with the 'Inline Style'-setting, or reference defined classes using the 'Classes'-setting."
"Customweb_OPPCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_OPPCw::Iframe Height","Altura del iFrame"
"Customweb_OPPCw::Image Brand Selection","Image Brand Selection"
"Customweb_OPPCw::In case ajax authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","In case ajax authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands."
"Customweb_OPPCw::In case the security hash option is enabled, the hash secret is required.","Si la opción security hash está activada, el hash secret es necesario."
"Customweb_OPPCw::In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization.","In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization."
"Customweb_OPPCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited."
"Customweb_OPPCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation."
"Customweb_OPPCw::Inactive","Inactivo"
"Customweb_OPPCw::Incl. Tax","Incl. impuesto"
"Customweb_OPPCw::Information","Information"
"Customweb_OPPCw::Inline Style","Inline Style"
"Customweb_OPPCw::Instructions","Instructions"
"Customweb_OPPCw::Integrator Test Mode","Integrator Modo de Prueba"
"Customweb_OPPCw::Internal","Internal"
"Customweb_OPPCw::Invalid login or password.","Invalid login or password."
"Customweb_OPPCw::Invoice Appendix","Invoice Appendix"
"Customweb_OPPCw::Invoice Delivery Method","Invoice Delivery Method"
"Customweb_OPPCw::Invoice Items","Artículos factura"
"Customweb_OPPCw::Invoice Settlement","Invoice Settlement"
"Customweb_OPPCw::Invoice Totals","Totales de las facturas"
"Customweb_OPPCw::Invoice settlement","Creación de la factura."
"Customweb_OPPCw::Invoice was created successfully","La cuenta ha sido creada con éxito"
"Customweb_OPPCw::Invoices","Facturas"
"Customweb_OPPCw::Issue Number","Número de emisión"
"Customweb_OPPCw::It is not possible to checkout in your country.","It is not possible to checkout in your country."
"Customweb_OPPCw::Italy","Italy"
"Customweb_OPPCw::Item","Item"
"Customweb_OPPCw::Items","Items"
"Customweb_OPPCw::Items Refunded","Items Refunded"
"Customweb_OPPCw::JCB","JCB"
"Customweb_OPPCw::Key / Hash did not match","Key / Hash did not match"
"Customweb_OPPCw::Klarna","Klarna"
"Customweb_OPPCw::Klarna (supports Hidden Authorization)","Klarna (supports Hidden Authorization)"
"Customweb_OPPCw::Klarna (supports Payment Page)","Klarna (supports Payment Page)"
"Customweb_OPPCw::Klarna: Conditions","Klarna: Conditions"
"Customweb_OPPCw::Klarna: Merchant ID","Klarna: Merchant ID"
"Customweb_OPPCw::Last name","Last name"
"Customweb_OPPCw::Legal note","Legal note"
"Customweb_OPPCw::Live HMAC Key","Live HMAC Key"
"Customweb_OPPCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_OPPCw::Live Mode","Modo Live"
"Customweb_OPPCw::Live Password","Live Password"
"Customweb_OPPCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_OPPCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_OPPCw::Logging","Logging"
"Customweb_OPPCw::Login","Login"
"Customweb_OPPCw::Login & Register","Login & Register"
"Customweb_OPPCw::Login and password are required.","Login and password are required."
"Customweb_OPPCw::Maestro","Maestro"
"Customweb_OPPCw::Mail Order / Telephone Order (MoTo)","Mail Order / Telephone Order (MoTo)"
"Customweb_OPPCw::Mail order/telephone order authorization","Autorización para pedido para e-Mail/pedido telefónico"
"Customweb_OPPCw::Male","Masculino"
"Customweb_OPPCw::Manage Stores","Administrar las tiendas"
"Customweb_OPPCw::Manage Open Payment Platform Aliases","Manage Open Payment Platform Aliases"
"Customweb_OPPCw::Mandate","Mandate"
"Customweb_OPPCw::Mandate (@identification)","Mandate (@identification)"
"Customweb_OPPCw::Mandate text","Mandate text"
"Customweb_OPPCw::MasteCcard (Debit)","MasteCcard (Debit)"
"Customweb_OPPCw::MasterCard","MasterCard"
"Customweb_OPPCw::Maximum Order Total","Cantidad máxima del pedido"
"Customweb_OPPCw::Merchant ID","Merchant ID"
"Customweb_OPPCw::Merchant Name","Merchant Name"
"Customweb_OPPCw::Message","Notificación"
"Customweb_OPPCw::Method Title","Method Title"
"Customweb_OPPCw::Minimum Order Total","Cantidad mínima del pedido"
"Customweb_OPPCw::Mit der ??bermittlung der f??r die Abwicklung des Rechnungskaufes und einer Identit??ts- und Bonit??tspr??fung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung f??r die Zukunft widerrufen.","Mit der ??bermittlung der f??r die Abwicklung des Rechnungskaufes und einer Identit??ts- und Bonit??tspr??fung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung f??r die Zukunft widerrufen."
"Customweb_OPPCw::Month","Mes"
"Customweb_OPPCw::My Open Payment Platform Aliases","My Open Payment Platform Aliases"
"Customweb_OPPCw::Narrative Text 1st line","Narrative Text 1st line"
"Customweb_OPPCw::Narrative Text 2nd line","Narrative Text 2nd line"
"Customweb_OPPCw::Narrative Text 3rd line","Narrative Text 3rd line"
"Customweb_OPPCw::Netherlands","Netherlands"
"Customweb_OPPCw::New Order","New Order"
"Customweb_OPPCw::New Order Status","Estado de orden nuevo"
"Customweb_OPPCw::New card","New card"
"Customweb_OPPCw::Next Update Execution Date","Next Update Execution Date"
"Customweb_OPPCw::No","No"
"Customweb_OPPCw::No BIC provided.","No BIC provided."
"Customweb_OPPCw::No IBAN provided.","No IBAN provided."
"Customweb_OPPCw::No Items","No Items"
"Customweb_OPPCw::No Name Provided","No Name Provided"
"Customweb_OPPCw::No additional payment information available.","No hay información adicional de pago disponible."
"Customweb_OPPCw::No authorization method found for payment method !method.","Ningún método de autorización encontrado para el pago al !method."
"Customweb_OPPCw::No button returned.","Botón no regresó."
"Customweb_OPPCw::No channel id is set for the payment method '!paymentMethodName'.","No channel id is set for the payment method '!paymentMethodName'."
"Customweb_OPPCw::No item type set.","No item type set."
"Customweb_OPPCw::No payment methods have been configured for the generic method.","No payment methods have been configured for the generic method."
"Customweb_OPPCw::No redirect URL provided. Contact Open Payment Platform.","No URL de redirección proporcionado. Póngase en contacto con ____ paymentServiceProviderName____."
"Customweb_OPPCw::No redirection URL provided. Contact Open Payment Platform.","No redirection URL provided. Contact Open Payment Platform."
"Customweb_OPPCw::No refund possible.","Ningún reembolso posible"
"Customweb_OPPCw::No response has been received.","No response has been received."
"Customweb_OPPCw::No shipping method needed.","No shipping method needed."
"Customweb_OPPCw::No, use the dropdown.","No, use the dropdown."
"Customweb_OPPCw::None","None"
"Customweb_OPPCw::None (processing by merchant)","Ninguno (procesamiento por el comerciante)"
"Customweb_OPPCw::None (processing by merchant, supports Server Authorization)","None (processing by merchant, supports Server Authorization)"
"Customweb_OPPCw::Notification types","Notification types"
"Customweb_OPPCw::Only an authorized transaction can be marked as finally declined.","Only an authorized transaction can be marked as finally declined."
"Customweb_OPPCw::Only an uncertain transaction can be marked as finally declined.","Only an uncertain transaction can be marked as finally declined."
"Customweb_OPPCw::Only authorized transaction can be cancelled.","Sólo las transacciones autorizadas se pueden cancelar."
"Customweb_OPPCw::Only authorized transaction can be captured.","Sólo las transacciones autorizadas pueden ser contabilizadas"
"Customweb_OPPCw::Only authorized transaction can be refunded.","Sólo las transacciones autorizadas pueden ser reembolsadas."
"Customweb_OPPCw::Only captured transaction can be refunded.","Sólo las transacciones contabilizadas pueden ser reembolsadas"
"Customweb_OPPCw::Only on captured transaction the flag customer refusing to pay can be set.","Only on captured transaction the flag customer refusing to pay can be set."
"Customweb_OPPCw::Operation Mode","Modo de funcionamiento"
"Customweb_OPPCw::Order #","Order #"
"Customweb_OPPCw::Order Grand Total","Gran Total del Pedido"
"Customweb_OPPCw::Order Information","Order Information"
"Customweb_OPPCw::Order Prefix","Order Prefix"
"Customweb_OPPCw::Order Review","Order Review"
"Customweb_OPPCw::Order Summary","Order Summary"
"Customweb_OPPCw::Order Total","Order Total"
"Customweb_OPPCw::Order cancelled, because the customer was too long in the payment process of Open Payment Platform.","El pedido fue cancelado debido a que el cliente se encuentra demasiado tiempo en el proceso de pago de Open Payment Platform."
"Customweb_OPPCw::Order prefix","Prefijo Orden"
"Customweb_OPPCw::Order was placed using %s","Order was placed using %s"
"Customweb_OPPCw::Orders","Orders"
"Customweb_OPPCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Pedidos cuyos pagos quedarán pendiente mayor que el tiempo definido en minutos se cancelarán automáticamente. Para utilizar esta función es necesario configurar Magento cron."
"Customweb_OPPCw::Page Style Name","Page Style Name"
"Customweb_OPPCw::Paid Amount","Cantidad pagada"
"Customweb_OPPCw::Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Customweb_OPPCw::Partial refund not possible. You may retry with the total transaction amount.","Reembolso parcial imposible. El importe es mayor que el importe total contabilizado."
"Customweb_OPPCw::Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Customweb_OPPCw::Password","Password"
"Customweb_OPPCw::Password and password confirmation are not equal.","Password and password confirmation are not equal."
"Customweb_OPPCw::Pay with ____paymentMethodName____","Pay with ____paymentMethodName____"
"Customweb_OPPCw::Payment","Payment"
"Customweb_OPPCw::Payment ID","ID de pago"
"Customweb_OPPCw::Payment Id","ID de pago"
"Customweb_OPPCw::Payment Information","Condiciones de venta"
"Customweb_OPPCw::Payment Method","Forma de pago"
"Customweb_OPPCw::Payment Methods","Payment Methods"
"Customweb_OPPCw::Payment captured successfully.","Pago capturado con éxito."
"Customweb_OPPCw::Payment could not be authorized. Cancelling order. Reason :","El pago no fue autorizado. El pedido será cancelado. Razón:"
"Customweb_OPPCw::Payment details can be entered after placing the order","Detalles del pago se pueden introducir a partir del pedido"
"Customweb_OPPCw::Payment from Applicable Countries","Payment from Applicable Countries"
"Customweb_OPPCw::Payment from Specific Countries","Payment from Specific Countries"
"Customweb_OPPCw::Payment from applicable countries","Pago de países aplicables"
"Customweb_OPPCw::Payment from specific countries","Pago de países específicos"
"Customweb_OPPCw::Payment is pending at OPPCw","Pago está pendiente con OPPCw"
"Customweb_OPPCw::Payment method description","Descripción de la forma de pago"
"Customweb_OPPCw::Payment with %s","Pago con %s"
"Customweb_OPPCw::Payment with Open Payment Platform","Pago con Open Payment Platform"
"Customweb_OPPCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Los pagos se pueden actualizar de forma automática (intervalo en minutos) via API (sie está activado). Para utilizar la función, el Magento Cron debe estar activado."
"Customweb_OPPCw::Payolution","Payolution"
"Customweb_OPPCw::Payolution (Server Authorization)","Payolution (Server Authorization)"
"Customweb_OPPCw::Payolution (supports Server Authorization)","Payolution (supports Server Authorization)"
"Customweb_OPPCw::Payolution - Due Date","Payolution - Due Date"
"Customweb_OPPCw::Payolution - Reference","Payolution - Reference"
"Customweb_OPPCw::Payolution - Transaction ID","Payolution - Transaction ID"
"Customweb_OPPCw::Payolution - Trusted Shop","Payolution - Trusted Shop"
"Customweb_OPPCw::Payolution - Workorder ID","Payolution - Workorder ID"
"Customweb_OPPCw::Payolution terms","Payolution terms"
"Customweb_OPPCw::Pending","Pendiente"
"Customweb_OPPCw::Pending OPPCw","Pending OPPCw"
"Customweb_OPPCw::Person (DE only)","Person (DE only)"
"Customweb_OPPCw::Phone","Phone"
"Customweb_OPPCw::Phone Number","Phone Number"
"Customweb_OPPCw::Place Order","Place Order"
"Customweb_OPPCw::Plain","Plain"
"Customweb_OPPCw::Please accept the terms and conditions.","Please accept the terms and conditions."
"Customweb_OPPCw::Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Customweb_OPPCw::Please check the entered CVC number.","Por favor, compruebe el número de CVC introducido."
"Customweb_OPPCw::Please check the entered credit card number.","Por favor, compruebe el número de la tarjeta de crédito introducida."
"Customweb_OPPCw::Please enter here the Bank Identifier Code (BIC).","Por favor introduzca el Código de identificación bancaria (BIC)."
"Customweb_OPPCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Por favor, introduzca la CVC su tarjeta. Usted puede encontrar esto en la parte de atrás de su tarjeta de crédito."
"Customweb_OPPCw::Please enter here the International Bank Account Number (IBAN).","Por favor introduzca el Número de Cuenta Bancaria Internacional (IBAN)."
"Customweb_OPPCw::Please enter here the account holder name on the card.","Por favor introduzca el nombre titular de la cuenta de la tarjeta."
"Customweb_OPPCw::Please enter here the account holder name.","Escriba aquí el nombre del titular."
"Customweb_OPPCw::Please enter here the account number of your bank account.","Introduce el número de cuenta de tu cuenta bancaria."
"Customweb_OPPCw::Please enter here the bank code of your bank.","Por favor, introduzca su código bancario."
"Customweb_OPPCw::Please enter here the card holder name on the card.","Por favor indique el titular de la tarjeta a su tarjeta de crédito."
"Customweb_OPPCw::Please enter here the commercial number of your company.","Por favor introduzca el número comercial de su empresa."
"Customweb_OPPCw::Please enter here the name of the account owner.","Por favor, introduzca el nombre del titular de la cuenta bancaria"
"Customweb_OPPCw::Please enter here the number on your card.","Por favor, introduzca su número de tarjeta"
"Customweb_OPPCw::Please enter here the sales tax number of your company.","Por favor, introduzca aquí el número de impuesto sobre las ventas de su empresa."
"Customweb_OPPCw::Please enter here your gender.","Please enter here your gender."
"Customweb_OPPCw::Please enter here your phone number.","Please enter here your phone number."
"Customweb_OPPCw::Please enter here your social security number.","Por favor, introduzca aquí su número de seguro social."
"Customweb_OPPCw::Please enter the location of your bank.","Por favor, introduzca la ubicación de su banco."
"Customweb_OPPCw::Please enter the name of your bank.","Por favor escriba el nombre de su banco."
"Customweb_OPPCw::Please enter your IBAN number.","Por favor, introduzca su número de IBAN."
"Customweb_OPPCw::Please enter your gender.","Introduzca su sexo."
"Customweb_OPPCw::Please enter your issue number, if there is no CVC code on your card.","Por favor, introduzca su número de emisión, si no existe un código CVC de su tarjeta."
"Customweb_OPPCw::Please enter your phone number.","Please enter your phone number."
"Customweb_OPPCw::Please fill out the form completely","Please fill out the form completely"
"Customweb_OPPCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_OPPCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Por favor, parpadear o desactivar el almacenamiento de caché y vuelva a intentarlo. Si esto no ayuda, cambie el método de autorización para PaymentPage y <a href=""%s"" target=""_blank"">contacta sellXed</a>.', 'http://www.sellxed.com/en/support"
"Customweb_OPPCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Customweb_OPPCw::Please log in below:","Please log in below:"
"Customweb_OPPCw::Please pay the order to the following account.","Please pay the order to the following account."
"Customweb_OPPCw::Please read and accept the terms and conditions.","Please read and accept the terms and conditions."
"Customweb_OPPCw::Please select","Por favor seleccione"
"Customweb_OPPCw::Please select a shipping method before sending the order.","Please select a shipping method before sending the order."
"Customweb_OPPCw::Please select a shipping provider.","Please select a shipping provider."
"Customweb_OPPCw::Please select the Bank Identifier Code (BIC) of your bank.","Por favor, seleccione el código de identificación bancaria (BIC) de su banco."
"Customweb_OPPCw::Please select the day of your birth.","Por favor seleccione el día de su nacimiento."
"Customweb_OPPCw::Please select the expiry month on your card.","Por favor seleccione el mes de la fecha de vencimiento de su tarjeta de crédito."
"Customweb_OPPCw::Please select the expiry year on your card.","Por favor introduzca la fecha de caducidad de la tarjeta."
"Customweb_OPPCw::Please select the month of your birth.","Por favor seleccione el mes de su nacimiento."
"Customweb_OPPCw::Please select the point in the checkout process when the different checks should be processed.","Please select the point in the checkout process when the different checks should be processed."
"Customweb_OPPCw::Please select the processor by which the invoice should be processed.","Por favor, seleccione el procesador por quién la factura debe ser procesado."
"Customweb_OPPCw::Please select the the year of your birth.","Por favor, seleccione el año de tu nacimiento."
"Customweb_OPPCw::Please specify the merchant id (EID) of your Klarna account.","Please specify the merchant id (EID) of your Klarna account."
"Customweb_OPPCw::Please wait, processing your order...","Please wait, processing your order..."
"Customweb_OPPCw::Please wait...","Please wait..."
"Customweb_OPPCw::Poland","Poland"
"Customweb_OPPCw::Portal ID","Portal ID"
"Customweb_OPPCw::Postal code","Postal code"
"Customweb_OPPCw::Price","Precio"
"Customweb_OPPCw::Process ID","Process ID"
"Customweb_OPPCw::Processor","Procesador"
"Customweb_OPPCw::Product","Producto"
"Customweb_OPPCw::Product Name","Product Name"
"Customweb_OPPCw::Proposed address changes","Proposed address changes"
"Customweb_OPPCw::Purchase Point","Purchase Point"
"Customweb_OPPCw::Qty","Cantidad"
"Customweb_OPPCw::Quantity can not be larger than 999.","Quantity can not be larger than 999."
"Customweb_OPPCw::Received 'paid' action, however amount was incorrect (!actual instead of !expected).","Received 'paid' action, however amount was incorrect (!actual instead of !expected)."
"Customweb_OPPCw::Received message with action @action.","Received message with action @action."
"Customweb_OPPCw::Recurring Payments","Recurring Payments"
"Customweb_OPPCw::Red","Red"
"Customweb_OPPCw::Redirection was required to url @url.","Redirection was required to url @url."
"Customweb_OPPCw::Reference No.","Reference No."
"Customweb_OPPCw::Refund (announcement) is only available for the full order, not only parts.","Refund (announcement) is only available for the full order, not only parts."
"Customweb_OPPCw::Refund Amount","Cantidad del reembolso"
"Customweb_OPPCw::Refund ID","ID Reembolso"
"Customweb_OPPCw::Refund amount","La cantidad del reembolso"
"Customweb_OPPCw::Refund information","Informaciones del reembolso"
"Customweb_OPPCw::Refund status","Estado de su reembolso"
"Customweb_OPPCw::Refunded Amount","Importe reembolsado"
"Customweb_OPPCw::Refunds","Refunds"
"Customweb_OPPCw::Register","Register"
"Customweb_OPPCw::Register to Create an Account","Register to Create an Account"
"Customweb_OPPCw::Register with us for future convenience:","Register with us for future convenience:"
"Customweb_OPPCw::Release Date","Release Date"
"Customweb_OPPCw::Review","Review"
"Customweb_OPPCw::Risk Based Capture","Risk Based Capture"
"Customweb_OPPCw::Rounding Adjustment","Rounding Adjustment"
"Customweb_OPPCw::Rounding Fee","Rounding Fee"
"Customweb_OPPCw::Row Total","Fila total"
