"Customweb_OPPCw::* Required Fields","* Erforderliche Felder"
"Customweb_OPPCw::Hash calculating method","Hash-Berechnungsverfahren"
"Customweb_OPPCw::Here you can activate Payone address checking.","Hier können Sie die Payone Adressüberprüfung aktivieren."
"Customweb_OPPCw::Here you can activate a scoring check on transactions. Setting this option to inactive means that the values selected in allow scoring, uncertain scoring and deny scoring are ignored.","Hier können Sie die Bonitätsprüfung für Transaktionen aktivieren. Wenn Sie diese Option deaktivieren, bedeutet dies, dass die ausgewählten Werte 'erlauben' 'unsicher' und 'ablehnen' ignoriert werden."
"Customweb_OPPCw::Here you can choose if the basket (invoice items) should be sent to Open Payment Platform. If quantities in your shop often exceed 999 you may wish to deactivate this option, as this is the maximum number supported by Open Payment Platform. This option may not be deactivated if you are using the Payment Page.","Hier können Sie festlegen, ob der Warenkorb (Rechnungsartikel) an  Open Payment Platform gesendet wird. Falls die Mengen in Ihrem Shop oftmals 999 überschreiten, sollten Sie diese Option vielleicht deaktivieren, da dies die maximale Anzahl ist, die von  Open Payment Platform unterstützt wird. Diese Option können Sie nicht deaktivieren falls Sie Payment Page benutzen."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an Open Payment Platform übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Open Payment Platform . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Open Payment Platform . The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Customweb_OPPCw::Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to payone. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an Open Payment Platform übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Customweb_OPPCw::Here you can set if you are a trusted shop with payolution. Activate this feature according to your contract with payolution.","Hier können Sie festlegen, ob Sie ein geprüfter Shop für Payolution sind. Aktivieren Sie diese Funktion je nach Vertrag mit Payolution."
"Customweb_OPPCw::Here you can set the maximum cart amount for which addresses should be checked.","Hier können Sie den maximalen Wagenbetrag festlegen, für den die Adressen geprüft werden sollen."
"Customweb_OPPCw::Here you can set the maximum cart amount for which scoring should be checked.","Hier können Sie den maximalen Warenkorbwert festlegen, für den die Bewertung geprüft werden soll."
"Customweb_OPPCw::Here you can set the maximum value for which addresses should be checked","Hier können Sie den Maximalwert eingeben, für den eine Adressüberprüfung durchgeführt werden soll."
"Customweb_OPPCw::Here you can set the maximum value for which scoring should be checked","Hier können Sie den Maximalwert eingeben, für den eine Bonitätsprüfung durchgeführt werden soll."
"Customweb_OPPCw::Here you can set the minimum cart amount for which addresses should be checked.","Hier können Sie den minimalen Warenkorb-Betrag festlegen, für den die Adressen geprüft werden sollen."
"Customweb_OPPCw::Here you can set the minimum cart amount for which scoring should be checked.","Hier können Sie den minimalen Warenkorbwert festlegen, für den die Bewertung geprüft werden soll."
"Customweb_OPPCw::Here you can set the minimum value for which addresses should be checked","Hier können Sie den Minimalwert eingeben, für den eine Adressüberprüfung durchgeführt werden soll."
"Customweb_OPPCw::Here you can set the minimum value for which scoring should be checked","Hier können Sie den Minimalwert eingeben, für den eine Bonitätsprüfung durchgeführt werden soll."
"Customweb_OPPCw::Here you can set the payment information displayed to the customer when paying the merchant directly. You may use {id} as a placeholder for the transaction id. You may use simple html such as &lt;b&gt; to format the information.","Hier können Sie die Zahlungsinformationen festlegen, die dem Kunden angezeigt werden, wenn er den Händler direkt bezahlt. Sie können {id} als Platzhalter für die Transaction ID verwernden. Sie können einfaches HTML wie &lt;b&gt; verwenden, um die Information zu formatieren."
"Customweb_OPPCw::Here you can set the time that a validation is valid, in hours.","Hier können Sie in Stunden angeben, wie lange die Validierung gültig sein soll."
"Customweb_OPPCw::Here you can set the type of address check to be used. If 'Person' is selected and the customer is not from Germany, 'Basic' will be used.","Hier können Sie den Typ der Adressüberprüfung auswählen, der benutzt werden soll. Wenn 'Person' ausgewählt ist und der Kunde nicht aus Deutschland stammt, wird 'Basic' benutzt."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method IFrame. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Hier können sie die Version der Frontend API einstellen, wenn die Autorisierungsmethode IFrame genutzt wird. Die Version 2 ermöglicht es Ihnen Templates mit custom CSS und JavaScript zu definieren  und dabei trotzdem PCI DSS SAQ A compliant zu bleiben. Stellen Sie sicher, dass ""Frontend-URL PCI DSS SAQ A compliant"" im Backend von Open Payment Platform aufgelistet ist unter Configuration > Payment Portals > (Portal) > API-Parameter und, dass FinanceGate Frontend in den ausgewählten Channels aktiv ist unter Configuration > Payment Portals > Portal > General. Danach stellen Sie sicher, dass Ihr Template korrekt eingerichtet ist."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method Payment Page. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Hier können sie die Version der Frontend API einstellen, wenn die Autorisierungsmethode Payment Page genutzt wird. Die Version 2 ermöglicht es Ihnen Templates mit custom CSS und JavaScript zu definieren  und dabei trotzdem PCI DSS SAQ A compliant zu bleiben. Stellen Sie sicher, dass ""Frontend-URL PCI DSS SAQ A compliant"" im Backend von Open Payment Platform aufgelistet ist unter Configuration > Payment Portals > (Portal) > API-Parameter und, dass FinanceGate Frontend in den ausgewählten Channels aktiv ist unter Configuration > Payment Portals > Portal > General. Danach stellen Sie sicher, dass Ihr Template korrekt eingerichtet ist."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method iFrame Authorization (Frontend). Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure 'Frontend-URL PCI DSS SAQ A compliant' is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Hier können Sie die Version der Frontend-API festlegen, die bei Verwendung der Berechtigungsmethode iFrame Authorization (Frontend) verwendet werden soll. Version 2 bietet Ihnen die Möglichkeit, Vorlagen mit benutzerdefiniertem CSS und JavaScript zu definieren, wobei Sie nach wie vor PCI DSS SAQ A konform bleiben. Unter Konfiguration> Zahlungsportale> Portal> Allgemein ist sichergestellt, dass im Konfigurationsmenü> Zahlungsportale> (Portal)> API-Parameter 'Frontend-URL PCI DSS SAQ A-kompatibel' im Backend Open Payment Platform aufgeführt ist. Stellen Sie danach sicher, dass Ihre Vorlage korrekt eingerichtet ist."
"Customweb_OPPCw::Here you can set which solvency ratings are denied. The selected values have higher priority than the ones selected in allow scoring and uncertain scoring.","Hier können Sie festlegen, welcher Bonitäts-Score abgelehnt werden sollen. Die ausgewählten Werte haben eine höhere Bedeutung als die in  Beurteilung erlauben und unbekannte Beurteilung ausgewählten Werte."
"Customweb_OPPCw::Here you can set which solvency ratings are let through while setting the transaction status to uncertain. The selected values have higher priority than the ones selected in allow scoring but lower priority than the values selected in deny scoring.","Hier können Sie einstellen, welcher Bonitäts-Score durchgelassen werden soll, wenn der Transaktionsstatus als unbekannt festgelegt wird. Die ausgewählten Werte haben eine niedrigere Priorität als diejenigen, die in  Beurteilung ablehnen  ausgewählt wurden."
"Customweb_OPPCw::Here you can set which solvency ratings are let through. The selected values have lower priority than the ones selected in uncertain scoring and deny scoring.","Hier können Sie einstellen, welche Solvenzbewertung durchgelassen werden soll. Die ausgewählten Werte haben eine niedrigere Priorität als diejenigen, die in unbekannte Beurteilung und Beurteilung ablehnen  ausgewählt wurden."
"Customweb_OPPCw::Here you may specify which CSS classes should be applied to the input field, if 'Use Style' is set to 'Classes'. These styles must be available to the page displaying the form.","Hier können sie festlegen welche CSS Klassen auf das Input-Feld angwendet werden, falls 'Use Style' auf 'Classes' gesetzt ist."
"Customweb_OPPCw::Hide","Verbergen"
"Customweb_OPPCw::Hide Conditions","Bedingungen ausblenden"
"Customweb_OPPCw::Hosted iFrame Configuration","Hosted iFrame Konfiguration"
"Customweb_OPPCw::Hungary","Hungary"
"Customweb_OPPCw::I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply.","Mit der Übermittlung der für die Abwicklung der gewählten Klarna Zahlungsmethode und einer Identitäts- und Bonitätsprüfung erforderlichen Daten an Klarna bin ich einverstanden. Meine !consent kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die AGB des Händlers."
"Customweb_OPPCw::I agree to the presented terms.","* Ich stimme den vorgelegten Bedingungen zu."
"Customweb_OPPCw::I want to submit the mandate.","Ich möchte das Mandat einreichen."
"Customweb_OPPCw::IBAN","IBAN"
"Customweb_OPPCw::IBAN number","Bankkonto"
"Customweb_OPPCw::IBAN: !iban","IBAN: !iban"
"Customweb_OPPCw::IFrame Height","IFrame Height"
"Customweb_OPPCw::IP could not be retrieved.","IP konnte nicht abgerufen werden."
"Customweb_OPPCw::Identification number: !number","Identification number: !number"
"Customweb_OPPCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Sofern nur noch ein Produkt an Lager ist und die Bezahlung des Kunden (der genau dieses Produkt kauft) fehlschlägt, wird das Produkt solange reserviert bis die Bestellung annuliert wird (vgl. Timeout Option). Aktivieren Sie diese Option, falls Sie NICHT möchten, dass das Produkt reserviert wird. Die Bestellung wird dann bei fehlgeschlagener oder abgebrochener Zahlung sofort annuliert."
"Customweb_OPPCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Der Artikel wird während der Zeit, wenn ein Kunde im Checkout ist reserverit. Aktivieren Sie diese Option, damit der Bestand bei fehlgeschlagenen Zahlungen direkt wieder freigegeben wird. Ansonsten erfolgt die Freigabe erst, wenn der Cron Job die ausstehenden Bestellungen cancelled."
"Customweb_OPPCw::If it is not applicable leave the field empty.","Falls nicht zutreffend, lassen Sie dieses Feld leer."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Transaktion erfolgreich storniert wurde."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Verbuchung erfolgreich war."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Wenn der Status 'Ausstehend' ist, dann ist es unklar, ob die Gutschrift erfolgreich war."
"Customweb_OPPCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","Dieser Account wird benutzt, wenn der Testmodus ausgewählt ist. Andernfalls wird der konfigurierte Account benutzt."
"Customweb_OPPCw::If the test mode is used, then the test parameter is used.","Wenn der Testmodus benutzt wird werden die Testparameter benutzt."
"Customweb_OPPCw::If this payment method should support recurring and moto transactions, you have to specify a second channel without 3d secure.","If this payment method should support recurring and moto transactions, you have to specify a second channel without 3d secure."
"Customweb_OPPCw::If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure.","If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure."
"Customweb_OPPCw::If you have a specific pagestyle for PayPal, you can specify it here.","If you have a specific pagestyle for PayPal, you can specify it here."
"Customweb_OPPCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Zögern Sie nicht, uns zu kontaktieren falls Sie ein Problem mit dem Modul haben. Auf unserer <a href='https://www.sellxed.com/de/support' target='_blank'>Support Seite</a> finden Sie weitere Informationen."
"Customweb_OPPCw::If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Wenn Sie die Checkbox anklicken wird die Bestellung beim PSP verbucht. Es können keine weiteren Captures erstellt werden."
"Customweb_OPPCw::If you use Klarna as processor, please specify your the merchant id (EID) of your Klarna account.","Wenn Sie Klarna als Prozessor verwenden, geben Sie bitte Ihre Merchant ID (EID) von Ihrem Klarna Account an."
"Customweb_OPPCw::If you use Klarna as processor, this setting controls the display of the conditions element. If you fulfill the Klarna requirements of displaying all necessary information in another way, and Klarna has recognized this, you may deactivate this option.","Wenn Sie Klarna als Verarbeiter verwenden, steuert diese Einstellung die Anzeige des Konditionselements. Wenn Sie die Klarna-Anforderungen erfüllen,  alle notwendigen Informationen auf andere Weise anzuzeigen, und Klarna dies erkannt hat, können Sie diese Option deaktivieren."
"Customweb_OPPCw::If you wish to use a custom style, you may either automatically detect your shop style (dynamic styling), or define the CSS above. You can either use in-line css with the 'Inline Style'-setting, or reference defined classes using the 'Classes'-setting.","Wenn Sie einen benutzerdefinierten Stil verwenden möchten, können Sie Ihren Shopstil automatisch erkennen (dynamisches Styling) oder Sie können den CSS oben definieren. Sie können entweder Inline-CSS mit der 'Inline Style'-Einstellung oder Referenz definierten Klassen mit der' Classes'-Einstellung verwenden."
"Customweb_OPPCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Falls Sie Recurring Payments anbieten möchten, brauchen Sie das Magnet Modul ""Customweb Subscription"". Weitere Informationen finden Sie unter <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_OPPCw::Iframe Height","Iframe Height"
"Customweb_OPPCw::Image Brand Selection","Auswahl des Kartenlogos"
"Customweb_OPPCw::In case ajax authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","Wenn Ajax Autorisierung benutzt wird, wird der Kreditkartenanbieter anhand der Kartennummer ermittelt  und die Nummer wird entsprechend validiert. Diese Einstellung erlaubt es Ihnen, die akzeptierten Anbieter einzuschränken."
"Customweb_OPPCw::In case the security hash option is enabled, the hash secret is required.","In case the security hash option is enabled, the hash secret is required."
"Customweb_OPPCw::In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization.","In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization."
"Customweb_OPPCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Es kann in einigen Fällen ein paar Sekunden dauern bis die Transaktion erfolgreich genehmigt wird. Wenn diese Option aktiviert ist, wird die Benachrichtigung erwartet."
"Customweb_OPPCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Es dauert teilweise etwas bis wir vom PSP die Nachricht der Zahlung erhalten. Das aktivieren dieser Option führt dazu, dass der Kunde im Checkout verzögert wird, bis die Notifikation vom PSP eintrifft."
"Customweb_OPPCw::Inactive","Inaktiv"
"Customweb_OPPCw::Incl. Tax","Inkl. Tax"
"Customweb_OPPCw::Information","Information"
"Customweb_OPPCw::Inline Style","Inline Style"
"Customweb_OPPCw::Instructions","Anweisungen"
"Customweb_OPPCw::Integrator Test Mode","Integrator Test Mode"
"Customweb_OPPCw::Internal","Internal"
"Customweb_OPPCw::Invalid login or password.","Ungültiges Login oder Passwort."
"Customweb_OPPCw::Invoice Appendix","Rechnungsanhang"
"Customweb_OPPCw::Invoice Delivery Method","Rechnungszustellungsmethode"
"Customweb_OPPCw::Invoice Items","Rechungsartikel"
"Customweb_OPPCw::Invoice Settlement","Verbuchung der Rechnung"
"Customweb_OPPCw::Invoice Totals","Rechnungstotal"
"Customweb_OPPCw::Invoice settlement","Rechungserstellung"
"Customweb_OPPCw::Invoice was created successfully","Die Rechnung wurde erfolgreich erstellt"
"Customweb_OPPCw::Invoices","Rechungen"
"Customweb_OPPCw::Issue Number","Ausgabekartennummer"
"Customweb_OPPCw::It is not possible to checkout in your country.","Es ist in Ihrem Land nicht möglich zu bezahlen."
"Customweb_OPPCw::Italy","Italy"
"Customweb_OPPCw::Item","Artikel"
"Customweb_OPPCw::Items","Artikel"
"Customweb_OPPCw::Items Refunded","Artikel zurückerstattet"
"Customweb_OPPCw::JCB","JCB"
"Customweb_OPPCw::Key / Hash did not match","Key / Hash stimmen nicht überein"
"Customweb_OPPCw::Klarna","Klarna"
"Customweb_OPPCw::Klarna (supports Hidden Authorization)","Klarna (unterstützt Hidden Authorization)"
"Customweb_OPPCw::Klarna (supports Payment Page)","Klarna (unterstützt Payment Page)"
"Customweb_OPPCw::Klarna: Conditions","Klarna: Bedingungen"
"Customweb_OPPCw::Klarna: Merchant ID","Klarna: Merchant ID"
"Customweb_OPPCw::Last name","Nachname"
"Customweb_OPPCw::Legal note","Rechtlicher Hinweis"
"Customweb_OPPCw::Live HMAC Key","Live HMAC Key"
"Customweb_OPPCw::Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Customweb_OPPCw::Live Mode","Live Modus"
"Customweb_OPPCw::Live Password","Live Passwort"
"Customweb_OPPCw::Live Rang (PBX_RANG)","Live Rang"
"Customweb_OPPCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_OPPCw::Logging","Logging"
"Customweb_OPPCw::Login","Login"
"Customweb_OPPCw::Login & Register","Login & Registrieren"
"Customweb_OPPCw::Login and password are required.","Login und Passwort sind erforderlich."
"Customweb_OPPCw::Maestro","Maestro"
"Customweb_OPPCw::Mail Order / Telephone Order (MoTo)","Mail Order / Telephone Order (MoTo)"
"Customweb_OPPCw::Mail order/telephone order authorization","Autorisierung von eMail-/Telefonbestellungen"
"Customweb_OPPCw::Male","Männlich"
"Customweb_OPPCw::Manage Stores","Shops verwalten"
"Customweb_OPPCw::Manage Open Payment Platform Aliases","Open Payment Platform Aliasse verwalten"
"Customweb_OPPCw::Mandate","Mandat"
"Customweb_OPPCw::Mandate (@identification)","Vollmacht (@identification)"
"Customweb_OPPCw::Mandate text","Mandatstext"
"Customweb_OPPCw::MasteCcard (Debit)","MasteCcard (Debit)"
"Customweb_OPPCw::MasterCard","MasterCard"
"Customweb_OPPCw::Maximum Order Total","Maximales Bestelltotal"
"Customweb_OPPCw::Merchant ID","Merchant ID"
"Customweb_OPPCw::Merchant Name","Merchant Name"
"Customweb_OPPCw::Message","Nachricht"
"Customweb_OPPCw::Method Title","Titel der Zahlungsmethode"
"Customweb_OPPCw::Minimum Order Total","Minimales Bestelltotal"
"Customweb_OPPCw::Mit der ??bermittlung der f??r die Abwicklung des Rechnungskaufes und einer Identit??ts- und Bonit??tspr??fung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung f??r die Zukunft widerrufen.","Mit der Übermittlung der fürr die Abwicklung des Rechnungskaufes und einer Identitäts- und Bonitätsprüfung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung für die Zukunft widerrufen."
"Customweb_OPPCw::Month","Monat"
"Customweb_OPPCw::My Open Payment Platform Aliases","Meine Open Payment Platform Aliasse"
"Customweb_OPPCw::Narrative Text 1st line","Erste Zeile der Beschreibung"
"Customweb_OPPCw::Narrative Text 2nd line","Zweite Zeile der Beschreibung"
"Customweb_OPPCw::Narrative Text 3rd line","Dritte Zeile der Beschreibung"
"Customweb_OPPCw::Netherlands","Netherlands"
"Customweb_OPPCw::New Order","Neue Bestellung"
"Customweb_OPPCw::New Order Status","Neuer Bestellstatus"
"Customweb_OPPCw::New card","Neue Karte"
"Customweb_OPPCw::Next Update Execution Date","Nächstes Ausführungsdatum für Updates"
"Customweb_OPPCw::No","Nein"
"Customweb_OPPCw::No BIC provided.","Es wurde keine BIC angegeben."
"Customweb_OPPCw::No IBAN provided.","Es wurde keine IBAN angegeben."
"Customweb_OPPCw::No Items","Keine Artikel"
"Customweb_OPPCw::No Name Provided","No Name Provided"
"Customweb_OPPCw::No additional payment information available.","Keine zusätzliche Zahlungsinformationen verfügbar"
"Customweb_OPPCw::No authorization method found for payment method !method.","Es konnte keine Autorisierungsmethode für die Zahlmethode '!method' gefunden werden."
"Customweb_OPPCw::No button returned.","Kein Knopf erhalten."
"Customweb_OPPCw::No channel id is set for the payment method '!paymentMethodName'.","No channel id is set for the payment method '!paymentMethodName'."
"Customweb_OPPCw::No item type set.","Es wurde keine Artikelart festgelegt."
"Customweb_OPPCw::No payment methods have been configured for the generic method.","No payment methods have been configured for the generic method."
"Customweb_OPPCw::No redirect URL provided. Contact Open Payment Platform.","No redirect URL provided. Contact Open Payment Platform."
"Customweb_OPPCw::No redirection URL provided. Contact Open Payment Platform.","No redirection URL provided. Contact Open Payment Platform."
"Customweb_OPPCw::No refund possible.","Keine Rückvergütung möglich"
"Customweb_OPPCw::No response has been received.","No response has been received."
"Customweb_OPPCw::No shipping method needed.","Keine Versandmethode benötigt."
"Customweb_OPPCw::No, use the dropdown.","Dropdown-Menü benutzen"
"Customweb_OPPCw::None","None"
"Customweb_OPPCw::None (processing by merchant)","Keine (Bearbeitung durch den Händler)"
"Customweb_OPPCw::None (processing by merchant, supports Server Authorization)","Keine (Verarbeitung durch den Händler, Server-Autorisierung wird unterstützt)"
"Customweb_OPPCw::Notification types","Notification types"
"Customweb_OPPCw::Only an authorized transaction can be marked as finally declined.","Nur autorisierte Transaktionen können als endgültig abgelehnt markiert werden."
"Customweb_OPPCw::Only an uncertain transaction can be marked as finally declined.","Nur unsichere Transaktionen können als endgültig abgelehnt markiert werden."
"Customweb_OPPCw::Only authorized transaction can be cancelled.","Nur autorisierte Transaktionen können storniert werden."
"Customweb_OPPCw::Only authorized transaction can be captured.","Nur autorisierte Transaktionen können verbucht werden."
"Customweb_OPPCw::Only authorized transaction can be refunded.","Nur autorsierte Transaktionen können gutgeschrieben werden."
"Customweb_OPPCw::Only captured transaction can be refunded.","Nur gebuchte Transaktionen können gutgeschrieben werden."
"Customweb_OPPCw::Only on captured transaction the flag customer refusing to pay can be set.","Nur bei bereits verbuchten Transaktionen kann ein Flag zur Markierung von Kunden, die nicht bezahlt haben, gesetzt werden."
"Customweb_OPPCw::Operation Mode","Betriebsmodus"
"Customweb_OPPCw::Order #","Bestellnummer"
"Customweb_OPPCw::Order Grand Total","Gesamtsumme der Bestellung"
"Customweb_OPPCw::Order Information","Bestellungsinformation"
"Customweb_OPPCw::Order Prefix","Bestell-Präfix"
"Customweb_OPPCw::Order Review","Bestellungsüberprüfung"
"Customweb_OPPCw::Order Summary","Bestellzusammenfassung"
"Customweb_OPPCw::Order Total","Bestelltotal"
"Customweb_OPPCw::Order cancelled, because the customer was too long in the payment process of Open Payment Platform.","Bestellung wurde abgebrochen, da der Kunde sich zu lange im Zahlungsprozess von Open Payment Platform befand."
"Customweb_OPPCw::Order prefix","Bestellungs-Präfix"
"Customweb_OPPCw::Order was placed using %s","Order was placed using %s"
"Customweb_OPPCw::Orders","Bestellungen"
"Customweb_OPPCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellungen, deren Zahlungen länger ausstehend bleiben als das definierte Timeout in Minuten, werden automatisch abgebrochen. Um dieses Feature benutzen zu können, müssen Sie Magento Cron aufsetzen."
"Customweb_OPPCw::Page Style Name","Page Style Name"
"Customweb_OPPCw::Paid Amount","Bezahlter Betrag"
"Customweb_OPPCw::Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Customweb_OPPCw::Partial refund not possible. You may retry with the total transaction amount.","Teilrückzahlung nicht möglich. Die Summe ist grösser als der verbuchte Gesamtbetrag."
"Customweb_OPPCw::Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Customweb_OPPCw::Password","Passwort"
"Customweb_OPPCw::Password and password confirmation are not equal.","""Passwort"" und ""Passwort bestätigen"" stimmen nicht überein."
"Customweb_OPPCw::Pay with ____paymentMethodName____","Zahlen mit ____paymentMethodName____"
"Customweb_OPPCw::Payment","Zahlung"
"Customweb_OPPCw::Payment ID","Zahlungs-ID"
"Customweb_OPPCw::Payment Id","Payment ID"
"Customweb_OPPCw::Payment Information","Zahlungsinformationen"
"Customweb_OPPCw::Payment Method","Zahlungsmethode"
"Customweb_OPPCw::Payment Methods","Payment Methods"
"Customweb_OPPCw::Payment Surcharge","Zahlartgebühr"
"Customweb_OPPCw::Payment captured successfully.","Die Zahlung wurde erfolgreich vebucht."
"Customweb_OPPCw::Payment could not be authorized. Cancelling order. Reason :","Die Zahlung konnte nicht autorisiert werden. Bestellung wird abgebrochen. Grund:"
"Customweb_OPPCw::Payment details can be entered after placing the order","DIe Zahlungsinformationen können eingegeben werden, nachdem die Bestellung bestätigt wurde."
"Customweb_OPPCw::Payment from Applicable Countries","Zahlung von zutreffenden Ländern"
"Customweb_OPPCw::Payment from Specific Countries","Zahlung von spezifischen Ländern"
"Customweb_OPPCw::Payment from applicable countries","Zahlung von zutreffenden Ländern"
"Customweb_OPPCw::Payment from specific countries","Zahlung von spezifischen Ländern"
"Customweb_OPPCw::Payment is pending at OPPCw","Zahlung ist bei OPPCw ausstehend"
"Customweb_OPPCw::Payment method description","Beschreibung der Zahlungsmethode"
"Customweb_OPPCw::Payment with %s","Zahlung mit %s"
"Customweb_OPPCw::Payment with Open Payment Platform","Zahlung mit Open Payment Platform"
"Customweb_OPPCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Mit der Aktivierung dieser Option wird periodisch der Status der Zahlung via API Interface abgefragt. Um das Feature zu nutzen, muss der Magento Cron aktiviert sein."
"Customweb_OPPCw::Payolution","Payolution"
"Customweb_OPPCw::Payolution (Server Authorization)","Payolution (Server Authorization)"
"Customweb_OPPCw::Payolution (supports Server Authorization)","Payolution (unterstützt Server Autorisierung)"
"Customweb_OPPCw::Payolution - Due Date","Payolution - Fälligkeitsdatum"
"Customweb_OPPCw::Payolution - Reference","Payolution - Referenz"
"Customweb_OPPCw::Payolution - Transaction ID","Payolution - Transaktions ID"
"Customweb_OPPCw::Payolution - Trusted Shop","Payolution - Geprüfter Shop"
"Customweb_OPPCw::Payolution - Workorder ID","Payolution - Workorder ID"
"Customweb_OPPCw::Payolution terms","Payolution Bedingungen"
"Customweb_OPPCw::Pending","Ausstehend"
"Customweb_OPPCw::Pending OPPCw","Ausstehend  OPPCw"
"Customweb_OPPCw::Person (DE only)","Person (nur DE)"
"Customweb_OPPCw::Phone","Telefon"
"Customweb_OPPCw::Phone Number","Phone Number"
"Customweb_OPPCw::Place Order","Rechtsverbindlich bestellen"
