"* Required Fields","* campo obbligatorio"
"If this payment method should support recurring and moto transactions, you have to specify a second channel without 3d secure.","Se si desidera che questo metodo di pagamento supporti le transazioni ricorrenti e MoTo, é necessario inserire un secondo canale senza 3D Secure."
"If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure.","If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure."
"If you have a specific pagestyle for PayPal, you can specify it here.","If you have a specific pagestyle for PayPal, you can specify it here."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Se hai problemi con il modulo non esitare a contattarci. Controlla anche <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> per ulteriori informazioni."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Se selezioni questa opzione, il pagamento sarà registrato al PSP e non puoi aggiungere ulteriori registrazioni."
"If you use Klarna as processor, please specify your the merchant id (EID) of your Klarna account.","Se usi Klarna come processore, indica il tuo merchant id (EID) dell tuo account Klarna."
"If you use Klarna as processor, this setting controls the display of the conditions element. If you fulfill the Klarna requirements of displaying all necessary information in another way, and Klarna has recognized this, you may deactivate this option.","If you use Klarna as processor, this setting controls the display of the conditions element. If you fulfill the Klarna requirements of displaying all necessary information in another way, and Klarna has recognized this, you may deactivate this option."
"If you wish to use a custom style, you may either automatically detect your shop style (dynamic styling), or define the CSS above. You can either use in-line css with the 'Inline Style'-setting, or reference defined classes using the 'Classes'-setting.","If you wish to use a custom style, you may either automatically detect your shop style (dynamic styling), or define the CSS above. You can either use in-line css with the 'Inline Style'-setting, or reference defined classes using the 'Classes'-setting."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Se si desidera utilizzare pagamenti ricorrenti, è necessario il modulo di Magento ""abbonamento CustomWeb "". Per ulteriori informazioni visitare <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Iframe Height","Altezza dell'iFrame"
"Image Brand Selection","Image Brand Selection"
"In case ajax authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","In case ajax authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands."
"In case the security hash option is enabled, the hash secret is required.","Se l'opzione security hash é abilitata, il hash secret é necessario."
"In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization.","In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization."
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In alcuni casi possono volerci alcuni secondi prima che la transazione sia autorizzata con successo. Quando l'opzione é attivata, la notifica arriva dopo qualche secondo."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In alcuni casi l'operazione richiede alcuni secondi prima di essere autorizzata. Quando questa opzione è abilitata l'utente è trattenuto fino a quando la transazione non é andato a buon fine. Se questo non è il caso in 30 secondi viene visualizzato un messaggio al cliente che spiega la situazione."
"Inactive","Inattivo"
"Incl. Tax","Incl. tasse"
"Information","Informazione"
"Inline Style","Inline Style"
"Instructions","Instructions"
"Integrator Test Mode","Integrator Test Mode"
"Internal","Internal"
"Invalid login or password.","Login o password non validi."
"Invoice Appendix","Invoice Appendix"
"Invoice Delivery Method","Invoice Delivery Method"
"Invoice Items","Articoli fattura"
"Invoice Settlement","Pagamento della fattura"
"Invoice Totals","Totali della fattura"
"Invoice settlement","Creazione della fattura"
"Invoice was created successfully","La fattura é stato creata con successo."
"Invoices","Fatture"
"Issue Number","Numero Issue"
"It is not possible to checkout in your country.","Non é possibile effettuare il checkout nel tuo paese."
"Italy","Italia (IT)"
"Item","Articolo"
"Items","Articoli"
"Items Refunded","Articoli rimborsati"
"JCB","JCB"
"Key / Hash did not match","Key / Hash did not match"
"Klarna","Klarna"
"Klarna (supports Hidden Authorization)","Klarna (supports Hidden Authorization)"
"Klarna (supports Payment Page)","Klarna (supports Payment Page)"
"Klarna: Conditions","Klarna: Conditions"
"Klarna: Merchant ID","Klarna: Merchant ID"
"Last name","Last name"
"Legal note","Legal note"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Live Password"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Registrati"
"Login and password are required.","Login e password richiesti."
"Maestro","Maestro"
"Mail Order / Telephone Order (MoTo)","Mail Order / Telephone Order (MoTo)"
"Mail order/telephone order authorization","Autorizzazione degli ordini via eMail/telefono"
"Male","Maschio"
"Manage Stores","Gestire negozi"
"Manage Open Payment Platform Aliases","Gestisci gli alias Open Payment Platform"
"Mandate","Mandate"
"Mandate (@identification)","Mandate (@identification)"
"Mandate text","Mandato del testo"
"MasteCcard (Debit)","MasteCcard (Debit)"
"MasterCard","MasterCard"
"Maximum Order Total","Totale massimo dell'ordine"
"Merchant ID","Merchant ID"
"Merchant Name","Nome commerciante"
"Message","Notifica"
"Method Title","Titolo del metodo"
"Minimum Order Total","Minimo per il totale dell'ordine"
"Mit der ??bermittlung der f??r die Abwicklung des Rechnungskaufes und einer Identit??ts- und Bonit??tspr??fung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung f??r die Zukunft widerrufen.","Mit der ??bermittlung der f??r die Abwicklung des Rechnungskaufes und einer Identit??ts- und Bonit??tspr??fung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung f??r die Zukunft widerrufen."
"Month","Mese"
"My Open Payment Platform Aliases","I miei Alias Open Payment Platform"
"Narrative Text 1st line","Narrative Text 1st line"
"Narrative Text 2nd line","Narrative Text 2nd line"
"Narrative Text 3rd line","Narrative Text 3rd line"
"Netherlands","Paesi Bassi (NL)"
"New Order","Nuovo ordine"
"New Order Status","Nuovo stato dell'ordine"
"New card","Nuova carta"
"Next Update Execution Date","Data del prossimo aggiornamento"
"No","No"
"No BIC provided.","No BIC provided."
"No IBAN provided.","No IBAN provided."
"No Items","Nessun articolo"
"No Name Provided","No Name Provided"
"No additional payment information available.","Nessuna informazione di pagamento supplementare."
"No authorization method found for payment method !method.","Nessun metodo di autorizzazione trovato per il pagamento !method."
"No button returned.","Nessun tasto fornito."
"No channel id is set for the payment method '!paymentMethodName'.","Nessun Channel ID é impostato per il metodo di pagamento '!paymentMethodName'."
"No item type set.","No item type set."
"No payment methods have been configured for the generic method.","No payment methods have been configured for the generic method."
"No redirect URL provided. Contact Open Payment Platform.","Nessun URL di reindirizzamento disponibile. Contatto Open Payment Platform."
"No redirection URL provided. Contact Open Payment Platform.","No redirection URL provided. Contact Open Payment Platform."
"No refund possible.","Nessun rimborso possibile"
"No response has been received.","No response has been received."
"No shipping method needed.","Nessun metodo di spedizione necessario."
"No, use the dropdown.","No, use the dropdown."
"None","Nessuno"
"None (processing by merchant)","Nessuno (elaborazione da parte del commerciante)"
"None (processing by merchant, supports Server Authorization)","None (processing by merchant, supports Server Authorization)"
"Notification types","Notification types"
"Only an authorized transaction can be marked as finally declined.","Solo una transazione autorizzata può essere contrassegnata come Rifiutata."
"Only an uncertain transaction can be marked as finally declined.","Solo una transazione incerta può essere contrassegnata  Rifiutata."
"Only authorized transaction can be cancelled.","Solo le transazioni autorizzate possono essere cancellate."
"Only authorized transaction can be captured.","Solo le transazioni autorizzate possono essere registrate."
"Only authorized transaction can be refunded.","Solo transazioni autorizzate possono essere rimborsate."
"Only captured transaction can be refunded.","Solo le transazioni registrate possono essere rimborsate."
"Only on captured transaction the flag customer refusing to pay can be set.","E ' possibile impostare un flag per i clienti che non hanno pagato solo sulle transazioni registrate."
"Operation Mode","Modalità di funzionamento"
"Order #","Numero d'ordine"
"Order Grand Total","Totale complessivo dell'ordine"
"Order Information","Informazioni sull'ordine"
"Order Prefix","Order Prefix"
"Order Review","Controllo ordine"
"Order Summary","Riassunto dell'ordine"
"Order Total","Totale dell'ordine"
"Order cancelled, because the customer was too long in the payment process of Open Payment Platform.","L'ordine é stato annullato perché il cliente é rimasto troppo a lungo nel processo di pagamento di Open Payment Platform."
"Order prefix","Prefisso dell'ordine"
"Order was placed using %s","L'ordine é stato effettuato usando %s"
"Orders","Ordini"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Gli ordini il cui pagamento é in sospeso da più tempo del timeout definito in minuti saranno annullati automaticamente. Per utilizzare questa funzione devi impostare Magento cron."
"Page Style Name","Page Style Name"
"Paid Amount","Importo pagato"
"Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Partial refund not possible. You may retry with the total transaction amount.","Rimborso parziale non possibile. Riprovare con l'importo totale della transazione."
"Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Password","Password"
"Password and password confirmation are not equal.","La password e la conferma della password non corrispondono."
"Pay with ____paymentMethodName____","Paga con ____paymentMethodName____"
"Payment","Pagamento"
"Payment ID","Payment ID"
"Payment Id","ID pagamento"
"Payment Information","Informazioni sul pagamento"
"Payment Method","Metodo di pagamento"
"Payment Methods","Metodi di pagamento"
"Payment Surcharge","Payment Surcharge"
"Payment captured successfully.","Pagamento salvato con successo."
"Payment could not be authorized. Cancelling order. Reason :","Il pagamento non potesse essere autorizzato. L'ordine sarà annullato. Motivo:"
"Payment details can be entered after placing the order","I dettagli di pagamento possono essere inseriti dopo avere effettuato l'ordinato."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment from applicable countries","Pagamento da paesi applicabili"
"Payment from specific countries","Pagamento da paesi specifici"
"Payment is pending at OPPCw","Pagamento in sospeso in OPPCw."
"Payment method description","Descrizione di metodo di pagamento"
"Payment with %s","Pagamento con %s"
"Payment with Open Payment Platform","Pagamenti con ____ paymentServiceProviderName____"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","I pagamenti possono essere aggiornati automaticamente (intervallo in minuti) via API (se attivato). Per utilizzare questa funzione, il Magento Cron deve essere abilitato."
"Payolution","Payolution"
"Payolution (Server Authorization)","Payolution (Server Authorization)"
"Payolution (supports Server Authorization)","Payolution (supports Server Authorization)"
"Payolution - Due Date","Payolution - Due Date"
"Payolution - Reference","Payolution - Reference"
"Payolution - Transaction ID","Payolution - Transaction ID"
"Payolution - Trusted Shop","Payolution - Trusted Shop"
"Payolution - Workorder ID","Payolution - Workorder ID"
"Payolution terms","Payolution terms"
"Pending","In sospeso"
"Pending OPPCw","OPPCw in attesa"
"Person (DE only)","Person (DE only)"
"Phone","Phone"
"Phone Number","Numero di telefono"
"Place Order","Fare un ordine"
"Plain","Plain"
"Please accept the terms and conditions.","Accetta i termini e le condizioni"
"Please agree to all the terms and conditions before placing the order.","Accetta i termine e le condizioni prima di fare un ordine."
"Please check the entered CVC number.","Si prega di controllare il numero CVC inserito."
"Please check the entered credit card number.","Si prega di controllare il numero di carta di credito inserito."
"Please enter here the Bank Identifier Code (BIC).","Inserisci qui il codice di identificazione bancario (BIC)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Inserisci qui il codice CVC che si trova sul retro della tua carta."
"Please enter here the International Bank Account Number (IBAN).","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Please enter here the account holder name on the card.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"Please enter here the account holder name.","Si prega di inserire qui il nome del titolare del conto."
"Please enter here the account number of your bank account.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Please enter here the bank code of your bank.","Si prega di inserire il codice banca ."
"Please enter here the card holder name on the card.","Inserire qui il nome del titolare della carta."
"Please enter here the commercial number of your company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"Please enter here the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"Please enter here the number on your card.","Si prega di inserire il numero di carta di carta di credito."
"Please enter here the sales tax number of your company.","Inserisci qui la partita IVA della tua azienda."
"Please enter here your gender.","Please enter here your gender."
"Please enter here your phone number.","Inserisci qui il tuo numero di telefono."
"Please enter here your social security number.","Si prega di inserire il numero di sicurezza sociale."
"Please enter the location of your bank.","Si prega di inserire la posizione della banca."
"Please enter the name of your bank.","Si prega di inserire il nome della banca."
"Please enter your IBAN number.","Inserisci il tuo numero IBAN."
"Please enter your gender.","Devi inserire il tuo sesso."
"Please enter your issue number, if there is no CVC code on your card.","Inserisci l'issue number, se non c'é alcun codice CVC sulla carta."
"Please enter your phone number.","Devi inserire il tuo numero di telefono."
"Please fill out the form completely","Please fill out the form completely"
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se non dovesse aiutare, cambia il metodo di autorizzazione in PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Si prega di lampeggiare o disabilitare la memoria cache e riprovare. Se questo non ha aiutato, cambiare il metodo di autorizzazione per PaymentPage e <a href=""%s"" target=""_blank"">contattare sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se questo non aiuta, cambia il metodo di autorizzazione in PaymentPage e <a href=""%s"" target=""_blank"">contatta sellxed</a>."
"Please log in below:","Log in"
"Please pay the order to the following account.","Please pay the order to the following account."
"Please read and accept the terms and conditions.","Leggi i termini e le condizioni"
"Please select","Si prega di selezionare"
"Please select a shipping method before sending the order.","Seleziona un metodo di spedizione prima di inviare l'ordine."
"Please select a shipping provider.","Please select a shipping provider."
"Please select the Bank Identifier Code (BIC) of your bank.","Seleziona il Bank Identifier Code (BIC) della  banca."
"Please select the day of your birth.","Si prega di selezionare il giorno della tua nascita."
"Please select the expiry month on your card.","Devi inserire il mese della scadenza della carta."
"Please select the expiry year on your card.","Inserisci la data di scadenza della carta."
"Please select the month of your birth.","Seleziona il mese di nascita."
"Please select the point in the checkout process when the different checks should be processed.","Please select the point in the checkout process when the different checks should be processed."
"Please select the processor by which the invoice should be processed.","Si prega di selezionare il processore con cui la fattura deve essere elaborata."
"Please select the the year of your birth.","Si prega di selezionare l'anno di nascita."
"Please specify the merchant id (EID) of your Klarna account.","Please specify the merchant id (EID) of your Klarna account."
"Please wait...","Attendere.."
"Poland","Polonia"
"Portal ID","Portal ID"
"Postal code","Postal code"
"Price","Prezzo"
"Process ID","Process ID"
"Processor","Processore"
"Product","Prodotto"
"Product Name","Nome del prodotto"
"Proposed address changes","Proposed address changes"
"Purchase Point","Luogo di acquisto"
"Qty","Quantità"
"Quantity can not be larger than 999.","Quantity can not be larger than 999."
"Received 'paid' action, however amount was incorrect (!actual instead of !expected).","Received 'paid' action, however amount was incorrect (!actual instead of !expected)."
"Received message with action @action.","Received message with action @action."
"Recurring Payments","Pagamenti ricorrenti"
"Red","Red"
"Redirection was required to url @url.","Redirection was required to url @url."
"Reference No.","Reference No."
"Refund (announcement) is only available for the full order, not only parts.","Refund (announcement) is only available for the full order, not only parts."
"Refund Amount","Importo rimborsato"
"Refund ID","ID rimborso"
"Refund amount","Importo rimborsato"
"Refund information","Informazione sul rimborso"
"Refund status","Status rimborso"
"Refunded Amount","Importo rimborsato"
"Refunds","Crediti"
"Register","Registrarsi"
"Register to Create an Account","Iscriviti per creare un account"
"Register with us for future convenience:","Iscriviti per facilitare la tua prossima visita:"
"Release Date","Data di rilascio"
"Review","Revisione"
"Risk Based Capture","Risk Based Capture"
"Rounding Adjustment","Arrotondamenti"
"Rounding Fee","Rounding Fee"
"Row Total","Totale riga"
"SEPA Mandate ID","SEPA Mandate ID"
"SKU:","SKU:"
"Sales","Vendite"
"Sales Tax Number","Numero tasse vendite"
"Save","Salva"
"Saved cards:","Carte salvate"
"Score","Score"
"Scoring check executed","Scoring check executed"
"Scoring check maximum","Scoring check maximum"
"Scoring check minimum","Scoring check minimum"
"Secret Key","Secret Key"
"Secret for Encryption","Secret for Encryption"
"Secret key","Secret key"
"Security Hash","Security Hash"
"Security Hash Secret","Security Hash"
"Security Sender","Security Sender"
"See order and shipping status","Controlla l'ordine e lo stato della spedizione"
"Select 'ALL'","Select 'ALL'"
"Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS.","Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS."
"Select Brand","Seleziona Marca"
"Select Method","Seleziona metodo"
"Select the authorization method to use for processing this payment method.","Seleziona il metodo di autorizzazione da utilizzare per l'elaborazione di questo metodo di pagamento."
"Select the date of your birth.","Inserisci la data di nascita"
"Select the date on which your card expires.","Seleziona la data di scadenza della carta."
"Select the hash calculation method to use. This value must correspond with the selected value in the back-end of Open Payment Platform.","Select the hash calculation method to use. This value must correspond with the selected value in the back-end of Open Payment Platform."
"Selected IBAN","Selected IBAN"
"Send Basket","Send Basket"
"Send Invoice Email","Invia la fattura per email"
"Send amounts to Open Payment Platform in base currency.","Invia l'importo a Open Payment Platform  in base alla valuta."
"Send amounts to Open Payment Platform in store's base currency.","Invia importo a Open Payment Platform  nella valuta base del negozio."
"Send basket","Send basket"
"Send invoice email","Invia la fattura via email"
"Send it by e-mail.","Send it by e-mail."
"Send it by postal services.","Send it by postal services."
"Send the invoice email automatically after invoice creation.","Invia la fattura automaticamente via email dopo averla creata."
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Per la 'Contabilizzazione diretta' l'importo viene contabilizzato direttamente dopo il pagamento completato. Per la 'Contabilizzazione ritardata' l'importo viene addebitato solo dopo un periodo di tempo definito da voi."
"Set the sort order to show the external checkouts.","Impostare il criterio di ordine per visualizzare i checkout esterni."
"Set to 'none'.","Set to 'none'."
"Settlement after order","Creazione dopo l'ordine"
"Setup","Setup"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Shipping Address"
"Shipping Amount","Importo di spedizione"
"Shipping Information","Informazioni di spedizione"
"Shipping Method","Metodo di spedizione"
"Shipping Methods","Metodi di spedizione"
"Shipping Refund","Rimborso della spedizione"
"Shipping provider","Shipping provider"
"Shop","Shop"
"Short Installation Instructions:","Istruzioni per l'installazione breve:"
"Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Qualora l'importo venga addebitato automaticamente dopo l'ordine (diretta) o solo bloccato (ritardato)?"
"Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information.","Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information."
"Show","Mostra"
"Show Account Selection","Mostra la selezione dell'account"
"Show Further Settings and Information","Mostra ulteriori impostazioni e informazioni"
"Show Image","Mostra immagine"
"Show Payment Id","Mostra il Payment Id"
"Show the payment id","Mostra il payment ID"
"Show the payment id in the order information","Mostra il payment ID nell'informazione dell'ordine"
"Show the payment image","Mostra l'immagine di pagamento"
"Show the payment image on the checkout page","Mostra l'immagine di pagamento nella pagina di checkout"
"Sign In","Log in"
"Slovak Republic","Slovak Republic"
"Social Security Number","Social Security Number"
"Sorry, your payment request has been declined by AfterPay.","Sorry, your payment request has been declined by AfterPay."
"Sort Code","Sort Code"
"Sort Order","Sort Order"
"Spain","Spagna"
"State is required for country @country.","State is required for country @country."
"Status","Stato"
"Status Message","Messaggio status"
"Store the payment details","Salvare i dati di pagamento"
"Stored payment details","Dettagli di pagamento memorizzate"
"Street","Street"
"Sub Account ID","Sub Account ID"
"Submit","Submit"
"Submit Order","Conferma l'ordine"
"Submitting order information...","Invio informazioni sull'ordine ..."
"Subtotal","Totale parziale"
"Success","Successo"
"Successful","Successo"
"Successful online refund of amount","Rimborso online dell'importo andato a buon fine."
"Successful payment authorization.","Pagamento autorizzato con successo."
"Successfull online refund of amount","Rimborso online dell'importo andato a buon fine."
"Support","Supporto"
"Switzerland","Svizzera (CH)"
"Tax Amount","Importo Tassa"
"Technical Issue Message","Technical Issue Message"
"Technical issue: This payment methods is not available at the moment.","Problema tecnico: Questo metodo di pagamento non é disponibile in questo momento."
"Terms and Conditions","Termini e condizioni"
"Test Mode","Test Mode"
"Test Transaction","Test per la transazione"
"The 'Integrator Test Mode' sends all payments to Open Payment Platform, but no financial institute is contacted. In the 'Connector Test Mode' the transaction is sent to the corresponding financial institute as test transaction. In live mode all transactions are processed.","La 'Integrator Test Mode' invia tutti i pagamenti a Open Payment Platform, ma nessun istituto finanziario viene contattato. Nella 'Modalità Test Connector' la transazione viene inviata al corrispondente istituto finanziario come transazione di prova. In modalità live tutte le transazioni vengono elaborate."
"The Entity ID is a unique key for the identification of the unit which sends transactions into the system.","The Entity ID is a unique key for the identification of the unit which sends transactions into the system."
"The HMAC key as defined in the live backoffice of Open Payment Platform. You may need generate the HMAC key. Please take a look at the manual how to do this.","The HMAC key as defined in the live backoffice of Open Payment Platform. You may need generate the HMAC key. Please take a look at the manual how to do this."
"The IBAN is invalid.","The IBAN is invalid."
"The IBAN is missing.","The IBAN is missing."
"The Klarna payment method cannot be used by companies.","The Klarna payment method cannot be used by companies."
"The Klarna payment method cannot be used in the customer's country.","The Klarna payment method cannot be used in the customer's country."
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Lo schema mandato SEPA non contiene il tag '!tag' necessario."
"The SHA signatures do not match.","La SHA signatures non corrisponde."
"The VAT category is invalid.","The VAT category is invalid."
"The VAT category is missing.","The VAT category is missing."
"The VAT number is missing.","The VAT number is missing."
"The alias could not be found.","L'alias non é stato trovato."
"The alias has been deleted.","L'alias é stato cancellato."
"The alias manager allows the customer to select from a credit card previously stored. The credit card data is stored by Open Payment Platform.","L'Alias Manager consente al cliente di pagare con una carta di credito già salvata precedentemente. Questa carta di credito é salvata in ____ paymentServiceProviderName____."
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","The alias transaction could not be conductet with error code: !code, and reason: !reason:"
"The amount could not be verified.","The amount could not be verified."
"The amount of !amount is authorized.","La quantità di !amount é autorizzata."
"The amount of !amount is captured.","La quantità di !amount é registrata."
"The authorization is confirmed.","L'autorizzazione é stata approvata."
"The authorization is denied: !errorMessage","L'autorizzazione é stata negata: !errorMessage"
"The authorization method '!method' is not supported.","Il metodo autorizzazione '!method' non é supportato."
"The authorization was denied.","The authorization was denied."
"The authorization was not successful","The authorization was not successful"
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting."
"The brand with external name '!key' was not present in the map.","Il marchio con il nome esterno '!key' non era presente nella mappa."
"The brand with key '!key' was not found in the card information map.","Il marchio con la chiave !key' non é stata trovata nella mappa dati della carta."
"The cancellation could not be conducted. Error code: !error.","The cancellation could not be conducted. Error code: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","La quantità da registrare (!captureAmount) non può essere superiore all'importo autorizzato (!authorizedAmount)."
"The capture failed.","The capture failed."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Il prodotto registrato con SKU '@sku' a una quantità (@amountItem) superiore rispetto al prodotto originale (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","Il prodotto registrato con SKU '@sku' non é presente nell'ordine originale."
"The capturing could not be conducted. Error code: !error.","The capturing could not be conducted. Error code: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?"
"The chamber of commerce number is incorrect.","The chamber of commerce number is incorrect."
"The chamber of commerce number is missing.","The chamber of commerce number is missing."
"The channel ID is a unique key for the identification of the unit which sends transactions into the system.","Il channel ID é una chiave univoca per identificare l'elemento che trasmette la transazione al sistema."
"The comapny name is incorrect.","The comapny name is incorrect."
"The company name is missing.","The company name is missing."
"The company vat number number needs to be set.","The company vat number number needs to be set."
"The configuration has been saved.","La configurazione é stata salvata."
"The controller class '@controller' does not provide any method with annotation 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod' and valid output.","La classe del controllore '@controller' non fornisce alcun metodo con annotazione 'Customweb_Payment_Endpoint_Annotation_ExtractionMethod'   e un valido output."
"The country code of the phone number is invalid.","The country code of the phone number is invalid."
"The country code of the phone number is missing.","The country code of the phone number is missing."
"The currency preference is invalid.","The currency preference is invalid."
"The currency preference is missing.","The currency preference is missing."
"The customer can decide, how to receive the invoice.","The customer can decide, how to receive the invoice."
"The customer does not finish the payment with in the timeout.","Il cliente non completa il pagamento entro il tempo stabilito."
"The date of birth is invalid.","The date of birth is invalid."
"The date of birth is missing.","The date of birth is missing."
"The date of birth is required.","È richiesta la data di nascita."
"The date of birth needs to be set.","The date of birth needs to be set."
"The debtor ID for processing SEPA mandates.","The debtor ID for processing SEPA mandates."
"The department name is invalid.","The department name is invalid."
"The department name is missing.","The department name is missing."
"The email address is invalid.","The email address is invalid."
"The email address is missing.","The email address is missing."
"The establishment number is invalid.","The establishment number is invalid."
"The establishment number is missing.","The establishment number is missing."
"The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off.","The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off."
"The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement.","The first of three possible lines to be displayed on account and credit card statements. This line may be up to 27 characters long, all further characters will be cut off. The placeholder {reference_id} can be used to display the reference number on the account statement."
"The gender is required.","Il sesso deve essere specificato."
"The given BIC is invalid.","The given BIC is invalid."
"The given CVC code has the wrong length.","Il dato codice CVC ha la lunghezza sbagliata."
"The given IBAN is invalid.","The given IBAN is invalid."
"The given address was invalid.","The given address was invalid."
"The given card number has an invalid check sum.","Il numero della carta fornito ha un checksum non valido."
"The given card number has an invalid length.","Il numero della carta fornito ha una lunghezza non valida."
"The given hmac key is empty.","The given hmac key is empty."
"The given identifier is empty.","The given identifier is empty."
"The given password is empty.","The given password is empty."
"The given rang is empty. It must be a nummeric value with length of two.","The given rang is empty. It must be a nummeric value with length of two."
"The given rang is invalid. It must be a nummeric value with length of two.","The given rang is invalid. It must be a nummeric value with length of two."
"The given site number is empty.","The given site number is empty."
"The given transaction is not of type Customweb_OPPCw_Authorization_Transaction.","The given transaction is not of type Customweb_OPPCw_Authorization_Transaction."
"The height of the iframe containing the input field.","The height of the iframe containing the input field."
"The house number addition is invalid.","The house number addition is invalid."
"The house number addition is missing.","The house number addition is missing."
"The house number is invalid.","The house number is invalid."
"The house number is missing.","The house number is missing."
"The identifier as defined in the backoffice of Open Payment Platform.","The identifier as defined in the backoffice of Open Payment Platform."
"The initials are invalid.","The initials are invalid."
"The initials are missing.","The initials are missing."
