"* Required Fields","* Erforderliche Felder"
"Here you can set the version of the Frontend API to be used when using the authorization method iFrame Authorization (Frontend). Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure 'Frontend-URL PCI DSS SAQ A compliant' is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Hier können Sie die Version der Frontend-API festlegen, die bei Verwendung der Berechtigungsmethode iFrame Authorization (Frontend) verwendet werden soll. Version 2 bietet Ihnen die Möglichkeit, Vorlagen mit benutzerdefiniertem CSS und JavaScript zu definieren, wobei Sie nach wie vor PCI DSS SAQ A konform bleiben. Unter Konfiguration> Zahlungsportale> Portal> Allgemein ist sichergestellt, dass im Konfigurationsmenü> Zahlungsportale> (Portal)> API-Parameter 'Frontend-URL PCI DSS SAQ A-kompatibel' im Backend Open Payment Platform aufgeführt ist. Stellen Sie danach sicher, dass Ihre Vorlage korrekt eingerichtet ist."
"Here you can set which solvency ratings are denied. The selected values have higher priority than the ones selected in allow scoring and uncertain scoring.","Hier können Sie festlegen, welcher Bonitäts-Score abgelehnt werden sollen. Die ausgewählten Werte haben eine höhere Bedeutung als die in  Beurteilung erlauben und unbekannte Beurteilung ausgewählten Werte."
"Here you can set which solvency ratings are let through while setting the transaction status to uncertain. The selected values have higher priority than the ones selected in allow scoring but lower priority than the values selected in deny scoring.","Hier können Sie einstellen, welcher Bonitäts-Score durchgelassen werden soll, wenn der Transaktionsstatus als unbekannt festgelegt wird. Die ausgewählten Werte haben eine niedrigere Priorität als diejenigen, die in  Beurteilung ablehnen  ausgewählt wurden."
"Here you can set which solvency ratings are let through. The selected values have lower priority than the ones selected in uncertain scoring and deny scoring.","Hier können Sie einstellen, welche Solvenzbewertung durchgelassen werden soll. Die ausgewählten Werte haben eine niedrigere Priorität als diejenigen, die in unbekannte Beurteilung und Beurteilung ablehnen  ausgewählt wurden."
"Here you may specify which CSS classes should be applied to the input field, if 'Use Style' is set to 'Classes'. These styles must be available to the page displaying the form.","Hier können sie festlegen welche CSS Klassen auf das Input-Feld angwendet werden, falls 'Use Style' auf 'Classes' gesetzt ist."
"Hide","Verbergen"
"Hide Conditions","Bedingungen ausblenden"
"Hosted iFrame Configuration","Hosted iFrame Konfiguration"
"Hungary","Hungary"
"I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply.","Mit der Übermittlung der für die Abwicklung der gewählten Klarna Zahlungsmethode und einer Identitäts- und Bonitätsprüfung erforderlichen Daten an Klarna bin ich einverstanden. Meine !consent kann ich jederzeit mit Wirkung für die Zukunft widerrufen. Es gelten die AGB des Händlers."
"I agree to the presented terms.","* Ich stimme den vorgelegten Bedingungen zu."
"I want to submit the mandate.","Ich möchte das Mandat einreichen."
"IBAN","IBAN"
"IBAN number","Bankkonto"
"IBAN: !iban","IBAN: !iban"
"IFrame Height","IFrame Height"
"IP could not be retrieved.","IP konnte nicht abgerufen werden."
"Identification number: !number","Identification number: !number"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Sofern nur noch ein Produkt an Lager ist und die Bezahlung des Kunden (der genau dieses Produkt kauft) fehlschlägt, wird das Produkt solange reserviert bis die Bestellung annuliert wird (vgl. Timeout Option). Aktivieren Sie diese Option, falls Sie NICHT möchten, dass das Produkt reserviert wird. Die Bestellung wird dann bei fehlgeschlagener oder abgebrochener Zahlung sofort annuliert."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Der Artikel wird während der Zeit, wenn ein Kunde im Checkout ist reserverit. Aktivieren Sie diese Option, damit der Bestand bei fehlgeschlagenen Zahlungen direkt wieder freigegeben wird. Ansonsten erfolgt die Freigabe erst, wenn der Cron Job die ausstehenden Bestellungen cancelled."
"If it is not applicable leave the field empty.","Falls nicht zutreffend, lassen Sie dieses Feld leer."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Transaktion erfolgreich storniert wurde."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Verbuchung erfolgreich war."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Wenn der Status 'Ausstehend' ist, dann ist es unklar, ob die Gutschrift erfolgreich war."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","Dieser Account wird benutzt, wenn der Testmodus ausgewählt ist. Andernfalls wird der konfigurierte Account benutzt."
"If the test mode is used, then the test parameter is used.","Wenn der Testmodus benutzt wird werden die Testparameter benutzt."
"If this payment method should support recurring and moto transactions, you have to specify a second channel without 3d secure.","If this payment method should support recurring and moto transactions, you have to specify a second channel without 3d secure."
"If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure.","If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure."
"If you have a specific pagestyle for PayPal, you can specify it here.","If you have a specific pagestyle for PayPal, you can specify it here."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Zögern Sie nicht, uns zu kontaktieren falls Sie ein Problem mit dem Modul haben. Auf unserer <a href='https://www.sellxed.com/de/support' target='_blank'>Support Seite</a> finden Sie weitere Informationen."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Wenn Sie die Checkbox anklicken wird die Bestellung beim PSP verbucht. Es können keine weiteren Captures erstellt werden."
"If you use Klarna as processor, please specify your the merchant id (EID) of your Klarna account.","Wenn Sie Klarna als Prozessor verwenden, geben Sie bitte Ihre Merchant ID (EID) von Ihrem Klarna Account an."
"If you use Klarna as processor, this setting controls the display of the conditions element. If you fulfill the Klarna requirements of displaying all necessary information in another way, and Klarna has recognized this, you may deactivate this option.","Wenn Sie Klarna als Verarbeiter verwenden, steuert diese Einstellung die Anzeige des Konditionselements. Wenn Sie die Klarna-Anforderungen erfüllen,  alle notwendigen Informationen auf andere Weise anzuzeigen, und Klarna dies erkannt hat, können Sie diese Option deaktivieren."
"If you wish to use a custom style, you may either automatically detect your shop style (dynamic styling), or define the CSS above. You can either use in-line css with the 'Inline Style'-setting, or reference defined classes using the 'Classes'-setting.","Wenn Sie einen benutzerdefinierten Stil verwenden möchten, können Sie Ihren Shopstil automatisch erkennen (dynamisches Styling) oder Sie können den CSS oben definieren. Sie können entweder Inline-CSS mit der 'Inline Style'-Einstellung oder Referenz definierten Klassen mit der' Classes'-Einstellung verwenden."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Falls Sie Recurring Payments anbieten möchten, brauchen Sie das Magnet Modul ""Customweb Subscription"". Weitere Informationen finden Sie unter <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Iframe Height","Iframe Height"
"Image Brand Selection","Auswahl des Kartenlogos"
"In case ajax authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","Wenn Ajax Autorisierung benutzt wird, wird der Kreditkartenanbieter anhand der Kartennummer ermittelt  und die Nummer wird entsprechend validiert. Diese Einstellung erlaubt es Ihnen, die akzeptierten Anbieter einzuschränken."
"In case the security hash option is enabled, the hash secret is required.","In case the security hash option is enabled, the hash secret is required."
"In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization.","In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization."
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Es kann in einigen Fällen ein paar Sekunden dauern bis die Transaktion erfolgreich genehmigt wird. Wenn diese Option aktiviert ist, wird die Benachrichtigung erwartet."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Es dauert teilweise etwas bis wir vom PSP die Nachricht der Zahlung erhalten. Das aktivieren dieser Option führt dazu, dass der Kunde im Checkout verzögert wird, bis die Notifikation vom PSP eintrifft."
"Inactive","Inaktiv"
"Incl. Tax","Inkl. Tax"
"Information","Information"
"Inline Style","Inline Style"
"Instructions","Anweisungen"
"Integrator Test Mode","Integrator Test Mode"
"Internal","Internal"
"Invalid login or password.","Ungültiges Login oder Passwort."
"Invoice Appendix","Rechnungsanhang"
"Invoice Delivery Method","Rechnungszustellungsmethode"
"Invoice Items","Rechungsartikel"
"Invoice Settlement","Verbuchung der Rechnung"
"Invoice Totals","Rechnungstotal"
"Invoice settlement","Rechungserstellung"
"Invoice was created successfully","Die Rechnung wurde erfolgreich erstellt"
"Invoices","Rechungen"
"Issue Number","Ausgabekartennummer"
"It is not possible to checkout in your country.","Es ist in Ihrem Land nicht möglich zu bezahlen."
"Italy","Italy"
"Item","Artikel"
"Items","Artikel"
"Items Refunded","Artikel zurückerstattet"
"JCB","JCB"
"Key / Hash did not match","Key / Hash stimmen nicht überein"
"Klarna","Klarna"
"Klarna (supports Hidden Authorization)","Klarna (unterstützt Hidden Authorization)"
"Klarna (supports Payment Page)","Klarna (unterstützt Payment Page)"
"Klarna: Conditions","Klarna: Bedingungen"
"Klarna: Merchant ID","Klarna: Merchant ID"
"Last name","Nachname"
"Legal note","Rechtlicher Hinweis"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Modus"
"Live Password","Live Passwort"
"Live Rang (PBX_RANG)","Live Rang"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Registrieren"
"Login and password are required.","Login und Passwort sind erforderlich."
"Maestro","Maestro"
"Mail Order / Telephone Order (MoTo)","Mail Order / Telephone Order (MoTo)"
"Mail order/telephone order authorization","Autorisierung von eMail-/Telefonbestellungen"
"Male","Männlich"
"Manage Stores","Shops verwalten"
"Manage Open Payment Platform Aliases","Open Payment Platform Aliasse verwalten"
"Mandate","Mandat"
"Mandate (@identification)","Vollmacht (@identification)"
"Mandate text","Mandatstext"
"MasteCcard (Debit)","MasteCcard (Debit)"
"MasterCard","MasterCard"
"Maximum Order Total","Maximales Bestelltotal"
"Merchant ID","Merchant ID"
"Merchant Name","Merchant Name"
"Message","Nachricht"
"Method Title","Titel der Zahlungsmethode"
"Minimum Order Total","Minimales Bestelltotal"
"Mit der ??bermittlung der f??r die Abwicklung des Rechnungskaufes und einer Identit??ts- und Bonit??tspr??fung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung f??r die Zukunft widerrufen.","Mit der Übermittlung der fürr die Abwicklung des Rechnungskaufes und einer Identitäts- und Bonitätsprüfung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung für die Zukunft widerrufen."
"Month","Monat"
"My Open Payment Platform Aliases","Meine Open Payment Platform Aliasse"
"Narrative Text 1st line","Erste Zeile der Beschreibung"
"Narrative Text 2nd line","Zweite Zeile der Beschreibung"
"Narrative Text 3rd line","Dritte Zeile der Beschreibung"
"Netherlands","Netherlands"
"New Order","Neue Bestellung"
"New Order Status","Neuer Bestellstatus"
"New card","Neue Karte"
"Next Update Execution Date","Nächstes Ausführungsdatum für Updates"
"No","Nein"
"No BIC provided.","Es wurde keine BIC angegeben."
"No IBAN provided.","Es wurde keine IBAN angegeben."
"No Items","Keine Artikel"
"No Name Provided","No Name Provided"
"No additional payment information available.","Keine zusätzliche Zahlungsinformationen verfügbar"
"No authorization method found for payment method !method.","Es konnte keine Autorisierungsmethode für die Zahlmethode '!method' gefunden werden."
"No button returned.","Kein Knopf erhalten."
"No channel id is set for the payment method '!paymentMethodName'.","No channel id is set for the payment method '!paymentMethodName'."
"No item type set.","Es wurde keine Artikelart festgelegt."
"No payment methods have been configured for the generic method.","No payment methods have been configured for the generic method."
"No redirect URL provided. Contact Open Payment Platform.","No redirect URL provided. Contact Open Payment Platform."
"No redirection URL provided. Contact Open Payment Platform.","No redirection URL provided. Contact Open Payment Platform."
"No refund possible.","Keine Rückvergütung möglich"
"No response has been received.","No response has been received."
"No shipping method needed.","Keine Versandmethode benötigt."
"No, use the dropdown.","Dropdown-Menü benutzen"
"None","None"
"None (processing by merchant)","Keine (Bearbeitung durch den Händler)"
"None (processing by merchant, supports Server Authorization)","Keine (Verarbeitung durch den Händler, Server-Autorisierung wird unterstützt)"
"Notification types","Notification types"
"Only an authorized transaction can be marked as finally declined.","Nur autorisierte Transaktionen können als endgültig abgelehnt markiert werden."
"Only an uncertain transaction can be marked as finally declined.","Nur unsichere Transaktionen können als endgültig abgelehnt markiert werden."
"Only authorized transaction can be cancelled.","Nur autorisierte Transaktionen können storniert werden."
"Only authorized transaction can be captured.","Nur autorisierte Transaktionen können verbucht werden."
"Only authorized transaction can be refunded.","Nur autorsierte Transaktionen können gutgeschrieben werden."
"Only captured transaction can be refunded.","Nur gebuchte Transaktionen können gutgeschrieben werden."
"Only on captured transaction the flag customer refusing to pay can be set.","Nur bei bereits verbuchten Transaktionen kann ein Flag zur Markierung von Kunden, die nicht bezahlt haben, gesetzt werden."
"Operation Mode","Betriebsmodus"
"Order #","Bestellnummer"
"Order Grand Total","Gesamtsumme der Bestellung"
"Order Information","Bestellungsinformation"
"Order Prefix","Bestell-Präfix"
"Order Review","Bestellungsüberprüfung"
"Order Summary","Bestellzusammenfassung"
"Order Total","Bestelltotal"
"Order cancelled, because the customer was too long in the payment process of Open Payment Platform.","Bestellung wurde abgebrochen, da der Kunde sich zu lange im Zahlungsprozess von Open Payment Platform befand."
"Order prefix","Bestellungs-Präfix"
"Order was placed using %s","Order was placed using %s"
"Orders","Bestellungen"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellungen, deren Zahlungen länger ausstehend bleiben als das definierte Timeout in Minuten, werden automatisch abgebrochen. Um dieses Feature benutzen zu können, müssen Sie Magento Cron aufsetzen."
"Page Style Name","Page Style Name"
"Paid Amount","Bezahlter Betrag"
"Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Partial refund not possible. You may retry with the total transaction amount.","Teilrückzahlung nicht möglich. Die Summe ist grösser als der verbuchte Gesamtbetrag."
"Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Password","Passwort"
"Password and password confirmation are not equal.","""Passwort"" und ""Passwort bestätigen"" stimmen nicht überein."
"Pay with ____paymentMethodName____","Zahlen mit ____paymentMethodName____"
"Payment","Zahlung"
"Payment ID","Zahlungs-ID"
"Payment Id","Payment ID"
"Payment Information","Zahlungsinformationen"
"Payment Method","Zahlungsmethode"
"Payment Methods","Payment Methods"
"Payment Surcharge","Zahlartgebühr"
"Payment captured successfully.","Die Zahlung wurde erfolgreich vebucht."
"Payment could not be authorized. Cancelling order. Reason :","Die Zahlung konnte nicht autorisiert werden. Bestellung wird abgebrochen. Grund:"
"Payment details can be entered after placing the order","DIe Zahlungsinformationen können eingegeben werden, nachdem die Bestellung bestätigt wurde."
"Payment from Applicable Countries","Zahlung von zutreffenden Ländern"
"Payment from Specific Countries","Zahlung von spezifischen Ländern"
"Payment from applicable countries","Zahlung von zutreffenden Ländern"
"Payment from specific countries","Zahlung von spezifischen Ländern"
"Payment is pending at OPPCw","Zahlung ist bei OPPCw ausstehend"
"Payment method description","Beschreibung der Zahlungsmethode"
"Payment with %s","Zahlung mit %s"
"Payment with Open Payment Platform","Zahlung mit Open Payment Platform"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Mit der Aktivierung dieser Option wird periodisch der Status der Zahlung via API Interface abgefragt. Um das Feature zu nutzen, muss der Magento Cron aktiviert sein."
"Payolution","Payolution"
"Payolution (Server Authorization)","Payolution (Server Authorization)"
"Payolution (supports Server Authorization)","Payolution (unterstützt Server Autorisierung)"
"Payolution - Due Date","Payolution - Fälligkeitsdatum"
"Payolution - Reference","Payolution - Referenz"
"Payolution - Transaction ID","Payolution - Transaktions ID"
"Payolution - Trusted Shop","Payolution - Geprüfter Shop"
"Payolution - Workorder ID","Payolution - Workorder ID"
"Payolution terms","Payolution Bedingungen"
"Pending","Ausstehend"
"Pending OPPCw","Ausstehend  OPPCw"
"Person (DE only)","Person (nur DE)"
"Phone","Telefon"
"Phone Number","Phone Number"
"Place Order","Rechtsverbindlich bestellen"
"Plain","Plain"
"Please accept the terms and conditions.","Stimmen Sie bitte den Allgemeinen Geschäftsbedingungen zu."
"Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie vor dem Platzieren der Bestellung den allgemeinen Geschäftsbedingungen zu."
"Please check the entered CVC number.","Bitte überprüfen Sie den eingegebenen CVC."
"Please check the entered credit card number.","Bitte geben Sie eine Kreditkartennummer ein."
"Please enter here the Bank Identifier Code (BIC).","Bitte tragen Sie hier einen BIC ein (Bank identifier Code)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Bitte geben Sie hier den CVC Ihrer Karte ein. Sie finden diesen auf der Rückseite Ihrer Kreditkarte."
"Please enter here the International Bank Account Number (IBAN).","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Please enter here the account holder name on the card.","Bitte geben Sie den Kontoinhaber an."
"Please enter here the account holder name.","Bitte tragen Sie hier den Kontoinhaber ein."
"Please enter here the account number of your bank account.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Please enter here the bank code of your bank.","Bitte geben Sie den Bankcode Ihrer Bank ein."
"Please enter here the card holder name on the card.","Bitte geben Sie den Karteninhaber auf Ihrer Kreditkarte ein."
"Please enter here the commercial number of your company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"Please enter here the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"Please enter here the number on your card.","Bitte geben Sie hier die Kartennummer Ihrer Kreditkarte ein."
"Please enter here the sales tax number of your company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"Please enter here your gender.","Please enter here your gender."
"Please enter here your phone number.","Please enter here your phone number."
"Please enter here your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"Please enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"Please enter the name of your bank.","Bitte geben Sie hier den Namen Ihrer Bank ein."
"Please enter your IBAN number.","Bitte geben Sie Ihre IBAN ein."
"Please enter your gender.","Please enter your gender."
"Please enter your issue number, if there is no CVC code on your card.","Bitte geben Sie die Ausgabenummer von Ihrer Karte ein, falls Sie keinen CVC auf Ihrer Karte haben."
"Please enter your phone number.","Please enter your phone number."
"Please fill out the form completely","Bitte füllen Sie das Formular vollständig aus"
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte deaktivieren Sie Cache und versuchen Sie es erneut. Sollte dies nicht helfen, ändern Sie die Autorisationsmethode zu PaymentPage und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Bitte leeren oder deaktivieren Sie den Cache-Speicher und versuchen Sie es erneut. Falls dies nicht hilft, ändern Sie die Autorisationsmethode zu Payment Page und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte entleeren oder deaktivieren Sie Ihren Cache und versuchen Sie es erneut. Falls es immer noch nicht klappt, ändern Sie die Autorisierungsmethode zu PaymentPage und kontaktieren Sie <a href=""%s"" target=""_blank"">sellxed</a>."
"Please log in below:","Bitte loggen Sie sich ein:"
"Please pay the order to the following account.","Bitte bezahlen Sie die Bestellungen an den folgenden Account."
"Please read and accept the terms and conditions.","Bitte lesen Sie die Allgemeinen Geschäftsbedingungen und stimmen diesen zu."
"Please select","-- Bitte wählen --"
"Please select a shipping method before sending the order.","Bitte wählen Sie vor dem Übermitteln der Bestellung eine Versandmethode aus."
"Please select a shipping provider.","Bitte wählen Sie eine Versandmethode aus."
"Please select the Bank Identifier Code (BIC) of your bank.","Wählen Sie einen BIC (Bank Identifier Code) Ihrer Bank."
"Please select the day of your birth.","Bitte wählen Sie den Tag Ihrer Geburt aus."
"Please select the expiry month on your card.","Bitte wählen Sie den Monat des Ablaufdatums auf Ihrer Kreditkarte aus."
"Please select the expiry year on your card.","Bitte geben Sie das Ablaufdatum der Karte ein."
"Please select the month of your birth.","Bitte wählen Sie den Monat Ihrer Geburt aus."
"Please select the point in the checkout process when the different checks should be processed.","Bitte wählen Sie den Zeitpunkt im Checkout Prozess aus, zu dem die verschiedenen Checks durchgeführt werden sollen."
"Please select the processor by which the invoice should be processed.","Bitte wählen Sie den Verarbeiter aus, mit dem die Rechnung bearbeitet werden soll."
"Please select the the year of your birth.","Bitte wählen Sie das Jahr Ihrer Geburt aus."
"Please specify the merchant id (EID) of your Klarna account.","Please specify the merchant id (EID) of your Klarna account."
"Please wait...","Please wait..."
"Poland","Poland"
"Portal ID","Portal ID"
"Postal code","Postleitzahl"
"Price","Preis"
"Process ID","Process ID"
"Processor","Verarbeiter"
"Product","Produkt"
"Product Name","Produktname"
"Proposed address changes","Vorgeschlagene Adressänderungen"
"Purchase Point","Einkaufsort"
"Qty","Anzahl"
"Quantity can not be larger than 999.","Die Menge kann nicht grösser als 999 sein."
"Received 'paid' action, however amount was incorrect (!actual instead of !expected).","'Bezahlt' Aktion erhalten jedoch war der Betrag nicht korrekt (!actual ansatt !expected)."
"Received message with action @action.","Nachricht erhalten mit der Aktion  @action."
"Recurring Payments","Abo Zahlungen"
"Red","Rot"
"Redirection was required to url @url.","Weiterleitung an URL @url war erforderlich."
"Reference No.","Referenznummer"
"Refund (announcement) is only available for the full order, not only parts.","Ein Refund (Ankündigung) ist nur erhältlich für die ganze Bestellung, nicht nur Teile davon."
"Refund Amount","Rückerstattungsbetrag"
"Refund ID","Rückvergütungs ID"
"Refund amount","Rückerstattungsbetrag"
"Refund information","Informationen zur Gutschrift"
"Refund status","Gutschriftsstatus"
"Refunded Amount","Rückerstattungsbetrag"
"Refunds","Gutschrift"
"Register","Registireren"
"Register to Create an Account","Registrieren, um ein Benutzerkonto zu erstellen"
"Register with us for future convenience:","Registrieren Sie sich bei uns für zukünftigen Komfort:"
"Release Date","Erscheinungsdatum"
"Review","Übersicht"
"Risk Based Capture","Risk Based Capture"
"Rounding Adjustment","Rundungskorrekturen"
"Rounding Fee","Rundungsgebühr"
"Row Total","Zeilensumme"
"SEPA Mandate ID","SEPA Mandats ID"
"SKU:","SKU:"
"Sales","Verkäufe"
"Sales Tax Number","Steuer Nummer"
"Save","Speichern"
"Saved cards:","Gespeicherte Karten:"
"Score","Ergebnis"
"Scoring check executed","Bonitätsprüfung durchgeführt"
"Scoring check maximum","Maximalwert für die Beurteilung"
"Scoring check minimum","Minimaler Bonitäts-Score"
"Secret Key","Secret Key"
"Secret for Encryption","Secret for Encryption"
"Secret key","Secret Key"
"Security Hash","Security Hash"
"Security Hash Secret","Security Hash Secret"
"Security Sender","Security Sender"
"See order and shipping status","Bestell- und Versandstatus ansehen"
"Select 'ALL'","Select 'ALL'"
"Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS.","Select 'PA' and 'DB' for PAYMENTS and 'ALL' for REGISTRATIONS."
"Select Brand","Wählen Sie den Kartentyp aus."
"Select Method","Methode auswählen"
"Select the authorization method to use for processing this payment method.","Wählen Sie bitte die Autorisierungsmethode für diese Zahlweise. (Bitte beachten Sie, dass die Hidden Autorisierung für Kreditkarten (sofern vorhanden) zusätzliche Zertifizerungsanforderungen mit sich bringt SAQ-A-EP. Für weitere Informationen kontkatieren Sie bitte Open Payment Platform)."
"Select the date of your birth.","Wählen Sie Ihr Geburtsdatum."
"Select the date on which your card expires.","Wählen Sie das Kartenablaufdatum."
"Select the hash calculation method to use. This value must correspond with the selected value in the back-end of Open Payment Platform.","Wählen Sie die Hash Berechnungsmethode. Dieser Wert muss mit dem vom Backend von Open Payment Platform übereinstimmen."
"Selected IBAN","Selected IBAN"
"Send Basket","Warenkorb senden"
"Send Invoice Email","Rechnungs-E-Mail senden"
"Send amounts to Open Payment Platform in base currency.","Den Betrag an Open Payment Platform  in der Standard Währung setteln"
"Send amounts to Open Payment Platform in store's base currency.","Beträge in der Basiswährung des Shops an Open Payment Platform senden."
"Send basket","Warenkorb senden"
"Send invoice email","Rechnungsmail versenden"
"Send it by e-mail.","Via E-Mail senden"
"Send it by postal services.","Via Post senden."
"Send the invoice email automatically after invoice creation.","Soll das Rechnungsemail direkt nach dem Erstellen der Rechnung versendet werden?"
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Wenn Sie 'Direkte Buchung' wählen, wird die Autorisierung direkt von der Kredit Karte des Kunden abgebucht. Bei 'Verzögerte Buchung' wird der Betrag verzögert zu einem von Ihnen definierten Zeitpunkt verbucht."
"Set the sort order to show the external checkouts.","Legen Sie die Reihenfolge fest, in der externe Checkouts angezeigt werden sollen."
"Set to 'none'.","Set to 'none'."
"Settlement after order","Erstellung nach der Bestellung"
"Setup","Setup"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Lieferadresse"
"Shipping Amount","Lieferkosten"
"Shipping Information","Versandinformationen"
"Shipping Method","Versandmethode"
"Shipping Methods","Versandmethoden"
"Shipping Refund","Rückerstattung der Lieferkosten"
"Shipping provider","Zulieferer"
"Shop","Shop"
"Short Installation Instructions:","Kurzinstruktionen:"
"Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Soll der Betrag nach der Bestellung automatisch abgesendet (direkt) oder nur reserviert werden (verzögert)?"
"Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information.","Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)? If instructed to do so you can also choose the risk based capturing. But please note that this feature can only be used if your account has the option activated. Contact your service provider for more information."
"Show","Anzeigen"
"Show Account Selection","Account-Auswahl anzeigen"
"Show Further Settings and Information","Weitere Einstellungen und Informationen zeigen"
"Show Image","Bild anzeigen"
"Show Payment Id","Payment ID anzeigen"
"Show the payment id","Anzeigen der Zahlungs ID"
"Show the payment id in the order information","Zahlungs ID in der Bestellinformation anzeigen"
"Show the payment image","Anzeigen der Zahlungslogos"
"Show the payment image on the checkout page","Zahlungslogos im Checkout anzeigen"
"Sign In","Anmelden"
"Slovak Republic","Slovak Republic"
"Social Security Number","Sozialversicherungsnummer"
"Sorry, your payment request has been declined by AfterPay.","Sorry, your payment request has been declined by AfterPay."
"Sort Code","Sort Code"
"Sort Order","Sortierreihenfolgen"
"Spain","Spain"
"State is required for country @country.","Staat ist für country @ country erforderlich."
"Status","Status"
"Status Message","Status Message"
"Store the payment details","Speichere Zahlungsdaten"
"Stored payment details","Gespeicherte Zahlungsdetails"
"Street","Strasse"
"Sub Account ID","Sub Account ID"
"Submit","Absenden"
