"Customweb_OPPCw::* Required Fields","* Champs requis"
"Customweb_OPPCw::Here you can set the maximum value for which addresses should be checked","Here you can set the maximum value for which addresses should be checked"
"Customweb_OPPCw::Here you can set the maximum value for which scoring should be checked","Here you can set the maximum value for which scoring should be checked"
"Customweb_OPPCw::Here you can set the minimum cart amount for which addresses should be checked.","Here you can set the minimum cart amount for which addresses should be checked."
"Customweb_OPPCw::Here you can set the minimum cart amount for which scoring should be checked.","Here you can set the minimum cart amount for which scoring should be checked."
"Customweb_OPPCw::Here you can set the minimum value for which addresses should be checked","Here you can set the minimum value for which addresses should be checked"
"Customweb_OPPCw::Here you can set the minimum value for which scoring should be checked","Here you can set the minimum value for which scoring should be checked"
"Customweb_OPPCw::Here you can set the payment information displayed to the customer when paying the merchant directly. You may use {id} as a placeholder for the transaction id. You may use simple html such as &lt;b&gt; to format the information.","Here you can set the payment information displayed to the customer when paying the merchant directly. You may use {id} as a placeholder for the transaction id. You may use simple html such as &lt;b&gt; to format the information."
"Customweb_OPPCw::Here you can set the time that a validation is valid, in hours.","Here you can set the time that a validation is valid, in hours."
"Customweb_OPPCw::Here you can set the type of address check to be used. If 'Person' is selected and the customer is not from Germany, 'Basic' will be used.","Here you can set the type of address check to be used. If 'Person' is selected and the customer is not from Germany, 'Basic' will be used."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method IFrame. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method IFrame. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method Payment Page. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method Payment Page. Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure ""Frontend-URL PCI DSS SAQ A compliant"" is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Customweb_OPPCw::Here you can set the version of the Frontend API to be used when using the authorization method iFrame Authorization (Frontend). Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure 'Frontend-URL PCI DSS SAQ A compliant' is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly.","Here you can set the version of the Frontend API to be used when using the authorization method iFrame Authorization (Frontend). Version 2 offers a way for you to define templates with custom CSS and JavaScript, while still being PCI DSS SAQ A compliant. Make sure 'Frontend-URL PCI DSS SAQ A compliant' is listed in the Open Payment Platform backend under Configuration > Payment Portals > (Portal) > API-Parameter, that FinanceGate Frontend is active under selected channels under Configuration > Payment Portals > Portal > General. After that, make sure that your template is set up correctly."
"Customweb_OPPCw::Here you can set which solvency ratings are denied. The selected values have higher priority than the ones selected in allow scoring and uncertain scoring.","Here you can set which solvency ratings are denied. The selected values have higher priority than the ones selected in allow scoring and uncertain scoring."
"Customweb_OPPCw::Here you can set which solvency ratings are let through while setting the transaction status to uncertain. The selected values have higher priority than the ones selected in allow scoring but lower priority than the values selected in deny scoring.","Here you can set which solvency ratings are let through while setting the transaction status to uncertain. The selected values have higher priority than the ones selected in allow scoring but lower priority than the values selected in deny scoring."
"Customweb_OPPCw::Here you can set which solvency ratings are let through. The selected values have lower priority than the ones selected in uncertain scoring and deny scoring.","Here you can set which solvency ratings are let through. The selected values have lower priority than the ones selected in uncertain scoring and deny scoring."
"Customweb_OPPCw::Here you may specify which CSS classes should be applied to the input field, if 'Use Style' is set to 'Classes'. These styles must be available to the page displaying the form.","Here you may specify which CSS classes should be applied to the input field, if 'Use Style' is set to 'Classes'. These styles must be available to the page displaying the form."
"Customweb_OPPCw::Hide","Masquer"
"Customweb_OPPCw::Hide Conditions","Hide Conditions"
"Customweb_OPPCw::Hosted iFrame Configuration","Hosted iFrame Configuration"
"Customweb_OPPCw::Hungary","Hungary"
"Customweb_OPPCw::I agree that that Klarna can use my adress data for identity and scoring checks. I am aware that I can revoke my !consent at any time in the future. The general terms and conditions of the merchant apply.","Je suis d'accord que ce Klarna peut utiliser mes données d'adresse pour les contrôles d'identité et de notation. Je suis conscient que je peux révoquer mon consentement! À tout moment dans l'avenir. Les termes et conditions du marchand générales applicables."
"Customweb_OPPCw::I agree to the presented terms.","I agree to the presented terms."
"Customweb_OPPCw::I want to submit the mandate.","I want to submit the mandate."
"Customweb_OPPCw::IBAN","IBAN"
"Customweb_OPPCw::IBAN number","Número du compte bancaire"
"Customweb_OPPCw::IBAN: !iban","IBAN: !iban"
"Customweb_OPPCw::IFrame Height","IFrame Height"
"Customweb_OPPCw::IP could not be retrieved.","IP could not be retrieved."
"Customweb_OPPCw::Identification number: !number","Numéro d'identification: !number"
"Customweb_OPPCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","S'il y a qu'une seule pièce de l'article en stock et le paiement du client échoue ou est annulé, cette article ne sera pas disponible jusqu'à que la commande soit annulée (option 'timeout' en bas). Activez cette option si vous voulez que l'article ne soit pas réservé. La commande sera donc annulée immédiatement."
"Customweb_OPPCw::If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Si un produit est en stock qu'une seule fois et le paiement de la commande du client ce produit échoue ou est abandonnée, il ne sera pas disponible jusqu'à ce que la commande est annulée (voir option de temporisation ci-dessous). Activez ce paramètre pour annuler les commandes en attente du client quand il revient à la page de panier et un produit ne sont plus disponible. Attention: Si vous activez cette option, il ya une chance que les paiements sont faits avec la commande correspondante étant déjà annulé."
"Customweb_OPPCw::If it is not applicable leave the field empty.","Si ce n'est pas applicable veuillez laisser le champ vide."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Si l'état est 'En attente', il est difficile de savoir si la transaction sera annulée avec succès."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Si l'état est 'En attente', il est difficile de savoir si la transaction sera capturé avec succès."
"Customweb_OPPCw::If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Si l'état est 'En attente', il est difficile de savoir si l'opération sera remboursé avec succès."
"Customweb_OPPCw::If the test mode is selected the test account is used. Otherwise the configured account is used.","Si le mode de test est sélectionné, le compte test sera utilisé. Sinon, le compte configuré sera utilisé."
"Customweb_OPPCw::If the test mode is used, then the test parameter is used.","If the test mode is used, then the test parameter is used."
"Customweb_OPPCw::If this payment method should support recurring and moto transactions, you have to specify a second channel without 3d secure.","Si vous voulez que cette méthode de paiement prenne en charge les transactions récurrentes et MoTo, vous devez insérer un deuxième canal sans 3D Secure."
"Customweb_OPPCw::If this payment method should support recurring and moto transactions, you have to specify a second entity ID without 3d secure.","Choisissez si ce mode de paiement doit accepter les transactions récurrentes et moto - vous devrez spécifier une deuxième Entity ID sans 3D Secure."
"Customweb_OPPCw::If you have a specific pagestyle for PayPal, you can specify it here.","Si vous avez un style de page spécifique pour PayPal, vous pouvez le spécifier ici."
"Customweb_OPPCw::If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Si vous avez des problèmes avec le module, n'hésitez pas à nous contacter. Consultez notre <a href='https://www.sellxed.com/en/support' target='_blank'>page d'assistance</a> pour plus d'informations."
"Customweb_OPPCw::If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","En cliquant sur la case, la commande sera capturée chez le prestataire de services de paiement. Il ne sera pas possible de faire d’autres captures."
"Customweb_OPPCw::If you use Klarna as processor, please specify your the merchant id (EID) of your Klarna account.","Si vous utilisez Klarna comme Processeur, vouliez indiquer le Merchant id (EID) de votre account Klarna."
"Customweb_OPPCw::If you use Klarna as processor, this setting controls the display of the conditions element. If you fulfill the Klarna requirements of displaying all necessary information in another way, and Klarna has recognized this, you may deactivate this option.","If you use Klarna as processor, this setting controls the display of the conditions element. If you fulfill the Klarna requirements of displaying all necessary information in another way, and Klarna has recognized this, you may deactivate this option."
"Customweb_OPPCw::If you wish to use a custom style, you may either automatically detect your shop style (dynamic styling), or define the CSS above. You can either use in-line css with the 'Inline Style'-setting, or reference defined classes using the 'Classes'-setting.","If you wish to use a custom style, you may either automatically detect your shop style (dynamic styling), or define the CSS above. You can either use in-line css with the 'Inline Style'-setting, or reference defined classes using the 'Classes'-setting."
"Customweb_OPPCw::If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Si vous souhaitez utiliser les paiements récurrents, vous avez besoin de notre module de Magento 'Customweb Subscription'. Pour plus d'informations, veuillez aller sur <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Customweb_OPPCw::Iframe Height","Hauteur de l'iFrame"
"Customweb_OPPCw::Image Brand Selection","Image Brand Selection"
"Customweb_OPPCw::In case ajax authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands.","In case ajax authorization is used, the brand of the credit card is detected by the card number and the card number is validated accordingly. This setting enables the restriction of the allowed brands."
"Customweb_OPPCw::In case the security hash option is enabled, the hash secret is required.","Si l'option security hash est activée, le hash secret est nécessaire."
"Customweb_OPPCw::In case the security hash option is enabled, the hash secret is required. This is only needed by the hidden authorization.","Si l'option du hash de sécurité est activé, le hash est nécessaire. Ceci est seulement nécessaire pour le type d'autorisation 'Hidden Authorization'."
"Customweb_OPPCw::In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Dans certains cas, il peut prendre quelques secondes jusqu'à ce que la transaction soit autorisée avec succès. Lorsque cette option est activée, la boutique attendra la notification quelques secondes."
"Customweb_OPPCw::In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Dans certains cas, l'opération nécessite quelques secondes jusqu'à ce qu'elle est autorisée avec succès. Lorsque cette option est activée l'utilisateur est en attente jusqu'à ce que celle-ci atteigne l'état final. Si ce n'est pas le cas en 30 secondes, un message s'affiche pour le client, qui explique la situation."
"Customweb_OPPCw::Inactive","Inactif"
"Customweb_OPPCw::Incl. Tax","Incl. TVA"
"Customweb_OPPCw::Information","Information"
"Customweb_OPPCw::Inline Style","Inline Style"
"Customweb_OPPCw::Instructions","Instructions"
"Customweb_OPPCw::Integrator Test Mode","Integrator Mode Test"
"Customweb_OPPCw::Internal","Interne"
"Customweb_OPPCw::Invalid login or password.","Nom d'utilisateur inexistant ou mauvais mot de passe."
"Customweb_OPPCw::Invoice Appendix","Invoice Appendix"
"Customweb_OPPCw::Invoice Delivery Method","Invoice Delivery Method"
"Customweb_OPPCw::Invoice Items","Eléments de la facture"
"Customweb_OPPCw::Invoice Settlement","Le règlement des factures"
"Customweb_OPPCw::Invoice Totals","Totaux facture"
"Customweb_OPPCw::Invoice settlement","Génération de la facture"
"Customweb_OPPCw::Invoice was created successfully","La facture a été créée avec succès"
"Customweb_OPPCw::Invoices","Factures"
"Customweb_OPPCw::Issue Number","Numéro"
"Customweb_OPPCw::It is not possible to checkout in your country.","Paiements de ce pays ne seront pas acceptés."
"Customweb_OPPCw::Italy","Italie (IT)"
"Customweb_OPPCw::Item","Article"
"Customweb_OPPCw::Items","Articles"
"Customweb_OPPCw::Items Refunded","Articles Remboursé"
"Customweb_OPPCw::JCB","JCB"
"Customweb_OPPCw::Key / Hash did not match","Key / Hash did not match"
"Customweb_OPPCw::Klarna","Klarna"
"Customweb_OPPCw::Klarna (supports Hidden Authorization)","Klarna (supports Hidden Authorization)"
"Customweb_OPPCw::Klarna (supports Payment Page)","Klarna (supports Payment Page)"
"Customweb_OPPCw::Klarna: Conditions","Klarna: Conditions"
"Customweb_OPPCw::Klarna: Merchant ID","Klarna: Merchant ID"
"Customweb_OPPCw::Last name","Last name"
"Customweb_OPPCw::Legal note","Legal note"
"Customweb_OPPCw::Live HMAC Key","Live HMAC Key"
"Customweb_OPPCw::Live Identifier (PBX_IDENTIFIANT)","Live identifiant (PBX_IDENTIFIANT)"
"Customweb_OPPCw::Live Mode","Live Mode"
"Customweb_OPPCw::Live Password","Mot de passe live"
"Customweb_OPPCw::Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Customweb_OPPCw::Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Customweb_OPPCw::Logging","Logging"
"Customweb_OPPCw::Login","Login"
"Customweb_OPPCw::Login & Register","Login & Inscription"
"Customweb_OPPCw::Login and password are required.","Login et mot de passe sont requis."
"Customweb_OPPCw::Maestro","Maestro"
"Customweb_OPPCw::Mail Order / Telephone Order (MoTo)","Ordre par e-mail/téléphone (MoTo)"
"Customweb_OPPCw::Mail order/telephone order authorization","Authentification par e-mail / téléphone"
"Customweb_OPPCw::Male","Mâle"
"Customweb_OPPCw::Manage Stores","Gérer Magasins"
"Customweb_OPPCw::Manage Open Payment Platform Aliases","Gérer les Alias Open Payment Platform"
"Customweb_OPPCw::Mandate","Mandate"
"Customweb_OPPCw::Mandate (@identification)","Mandate (@identification)"
"Customweb_OPPCw::Mandate text","Texte de mandat"
"Customweb_OPPCw::MasteCcard (Debit)","MasteCcard (Debit)"
"Customweb_OPPCw::MasterCard","MasterCard"
"Customweb_OPPCw::Maximum Order Total","Montant de commande maximal"
"Customweb_OPPCw::Merchant ID","Merchant ID"
"Customweb_OPPCw::Merchant Name","Nom de Marchand"
"Customweb_OPPCw::Message","Message"
"Customweb_OPPCw::Method Title","Titre de la méthode"
"Customweb_OPPCw::Minimum Order Total","Montant de commande minimal"
"Customweb_OPPCw::Mit der ??bermittlung der f??r die Abwicklung des Rechnungskaufes und einer Identit??ts- und Bonit??tspr??fung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung f??r die Zukunft widerrufen.","Mit der ??bermittlung der f??r die Abwicklung des Rechnungskaufes und einer Identit??ts- und Bonit??tspr??fung erforderlichen Daten an payolution bin ich einverstanden. <a target='_top' href='!url'>Meine Einwilligung</a> kann ich jederzeit mit Wirkung f??r die Zukunft widerrufen."
"Customweb_OPPCw::Month","Mois"
"Customweb_OPPCw::My Open Payment Platform Aliases","Mes Alias Open Payment Platform"
"Customweb_OPPCw::Narrative Text 1st line","Narrative Text 1st line"
"Customweb_OPPCw::Narrative Text 2nd line","Narrative Text 2nd line"
"Customweb_OPPCw::Narrative Text 3rd line","Narrative Text 3rd line"
"Customweb_OPPCw::Netherlands","Pays-Bas (NL)"
"Customweb_OPPCw::New Order","Nouvelle commande"
"Customweb_OPPCw::New Order Status","Nouvel statut de commande"
"Customweb_OPPCw::New card","Nouvelle carte"
"Customweb_OPPCw::Next Update Execution Date","Prochaine mise à jour"
"Customweb_OPPCw::No","Non"
"Customweb_OPPCw::No BIC provided.","No BIC provided."
"Customweb_OPPCw::No IBAN provided.","No IBAN provided."
"Customweb_OPPCw::No Items","Pas d'objet"
"Customweb_OPPCw::No Name Provided","No Name Provided"
"Customweb_OPPCw::No additional payment information available.","Aucune information de paiement supplémentaire est disponible."
"Customweb_OPPCw::No authorization method found for payment method !method.","Aucun mode d'autorisation trouvé pour le mode de paiement !method."
"Customweb_OPPCw::No button returned.","Pas de bouton retourné."
"Customweb_OPPCw::No channel id is set for the payment method '!paymentMethodName'.","Aucun Channel ID est défini pour le mode de paiement '!paymentMethodName'."
"Customweb_OPPCw::No item type set.","No item type set."
"Customweb_OPPCw::No payment methods have been configured for the generic method.","Aucune méthode de paiement a été configurée pour la méthode standard."
"Customweb_OPPCw::No redirect URL provided. Contact Open Payment Platform.","Aucune URL de redirection a été fourni. Veuillez contacter Open Payment Platform."
"Customweb_OPPCw::No redirection URL provided. Contact Open Payment Platform.","Aucune URL de redirection a été fournie. Veuillez contacter Open Payment Platform."
"Customweb_OPPCw::No refund possible.","Remboursement n'est pas possible"
"Customweb_OPPCw::No response has been received.","Aucune réponse n'a été reçue."
"Customweb_OPPCw::No shipping method needed.","Aucun mode de livraison nécessaire."
"Customweb_OPPCw::No, use the dropdown.","Utiliser le menu déroulant"
"Customweb_OPPCw::None","Aucun"
"Customweb_OPPCw::None (processing by merchant)","Aucun (traitement par le marchand)"
"Customweb_OPPCw::None (processing by merchant, supports Server Authorization)","None (processing by merchant, supports Server Authorization)"
"Customweb_OPPCw::Notification types","Notification types"
"Customweb_OPPCw::Only an authorized transaction can be marked as finally declined.","Seulement une transaction autorisée peut être marquée comme finalement déclinée."
"Customweb_OPPCw::Only an uncertain transaction can be marked as finally declined.","Seulement une transaction incertaine peut être marquée comme déclinée."
"Customweb_OPPCw::Only authorized transaction can be cancelled.","Seulement les transactions autorisées peuvent être annulées."
"Customweb_OPPCw::Only authorized transaction can be captured.","Seulement les transactions autorisées peuvent être comptabilisées."
"Customweb_OPPCw::Only authorized transaction can be refunded.","Seulement les transactions autorisées peuvent être remboursées"
"Customweb_OPPCw::Only captured transaction can be refunded.","Seulement les transaction comptabilisées peuvent être remboursées."
"Customweb_OPPCw::Only on captured transaction the flag customer refusing to pay can be set.","Il est seulement possible de définir un indicateur pour les clients qui n'ont pas payé sur les transactions capturées."
"Customweb_OPPCw::Operation Mode","Mode de fonctionnement"
"Customweb_OPPCw::Order #","Numéro de commande"
"Customweb_OPPCw::Order Grand Total","Total de l'ordre"
"Customweb_OPPCw::Order Information","Informations sur la commande"
"Customweb_OPPCw::Order Prefix","Préfixe pour la commande"
"Customweb_OPPCw::Order Review","Revue de la commande"
"Customweb_OPPCw::Order Summary","Résumé de la commande"
"Customweb_OPPCw::Order Total","Total de la commande"
"Customweb_OPPCw::Order cancelled, because the customer was too long in the payment process of Open Payment Platform.","la commande a été annulée, parce que le client était trop long dans le processus de paiement de Open Payment Platform"
"Customweb_OPPCw::Order prefix","Préfixe de la commande"
"Customweb_OPPCw::Order was placed using %s","Commande a été passée à l'aide de %s"
"Customweb_OPPCw::Orders","Commandes"
"Customweb_OPPCw::Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Les commandes où les paiements sont suspendu plus longtemps que le timeout spécifié en minutes seront anullées automatiquement."
"Customweb_OPPCw::Page Style Name","Nom du style de la page"
"Customweb_OPPCw::Paid Amount","Montant payé"
"Customweb_OPPCw::Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial captures of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Customweb_OPPCw::Partial refund not possible. You may retry with the total transaction amount.","Remboursement partiel n'est pas possible. Le montant est supérieur au montant total."
"Customweb_OPPCw::Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend.","Partial refunds of Klarna payments cannot be created in the shop. This can only be done in the PSP backend."
"Customweb_OPPCw::Password","Mot de passe"
"Customweb_OPPCw::Password and password confirmation are not equal.","Mot de passe et confirmation du mot de passe ne sont pas pareils."
"Customweb_OPPCw::Pay with ____paymentMethodName____","Payer avec ____paymentMethodName____"
"Customweb_OPPCw::Payment","Paiement"
"Customweb_OPPCw::Payment ID","ID de paiement"
"Customweb_OPPCw::Payment Id","Payment ID"
"Customweb_OPPCw::Payment Information","Conditions de vente"
"Customweb_OPPCw::Payment Method","Mode de paiement"
"Customweb_OPPCw::Payment Methods","Modes de paiement"
"Customweb_OPPCw::Payment Surcharge","Payment Surcharge"
"Customweb_OPPCw::Payment captured successfully.","Paiement a réussi à capturer."
"Customweb_OPPCw::Payment could not be authorized. Cancelling order. Reason :","Le paiement ne peut être autorisée. Commande annulée. Raison:"
"Customweb_OPPCw::Payment details can be entered after placing the order","Détails de paiement peuvent être insérés après avoir placé la commande"
"Customweb_OPPCw::Payment from Applicable Countries","Paiement des pays applicables"
"Customweb_OPPCw::Payment from Specific Countries","Paiement des pays spécifiques"
"Customweb_OPPCw::Payment from applicable countries","Paiement des pays applicables"
"Customweb_OPPCw::Payment from specific countries","Paiement des pays spécifiques"
"Customweb_OPPCw::Payment is pending at OPPCw","Payment en attente chez OPPCw"
"Customweb_OPPCw::Payment method description","Déscription du mode de paiement"
"Customweb_OPPCw::Payment with %s","Paiement avec %s"
"Customweb_OPPCw::Payment with Open Payment Platform","Paiement avec  Open Payment Platform"
"Customweb_OPPCw::Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Les paiements peuvent être actualisés automatiquement (interval en minutes) via API (si activé). Pour utiliser ce fonctionnement il faut configurer un cron pour Magento."
"Customweb_OPPCw::Payolution","Payolution"
"Customweb_OPPCw::Payolution (Server Authorization)","Payolution (Server Authorization)"
"Customweb_OPPCw::Payolution (supports Server Authorization)","Payolution (supports Server Authorization)"
"Customweb_OPPCw::Payolution - Due Date","Payolution - Due Date"
"Customweb_OPPCw::Payolution - Reference","Payolution - Reference"
"Customweb_OPPCw::Payolution - Transaction ID","Payolution - Transaction ID"
"Customweb_OPPCw::Payolution - Trusted Shop","Payolution - Trusted Shop"
"Customweb_OPPCw::Payolution - Workorder ID","Payolution - Workorder ID"
"Customweb_OPPCw::Payolution terms","Payolution terms"
"Customweb_OPPCw::Pending","En attente"
"Customweb_OPPCw::Pending OPPCw","OPPCw En attente"
"Customweb_OPPCw::Person (DE only)","Person (DE only)"
"Customweb_OPPCw::Phone","Phone"
"Customweb_OPPCw::Phone Number","Numéro de téléphone"
"Customweb_OPPCw::Place Order","Soumettre la commande"
"Customweb_OPPCw::Plain","Simple"
"Customweb_OPPCw::Please accept the terms and conditions.","Vouliez accepter les termes & conditions."
"Customweb_OPPCw::Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales avant de passer la commande."
"Customweb_OPPCw::Please check the entered CVC number.","Veuillez vérifier le numéro CVC entré."
"Customweb_OPPCw::Please check the entered credit card number.","Veuillez vérifier le numéro de carte de crédit indiqué."
"Customweb_OPPCw::Please enter here the Bank Identifier Code (BIC).","Veuillez insérer ici le code d'identification de banque (BIC)."
"Customweb_OPPCw::Please enter here the CVC code from your card. You find the code on the back of the card.","Insérez le code de sécurité de la carte. Vous le trouverez à l’arrière de la carte"
"Customweb_OPPCw::Please enter here the International Bank Account Number (IBAN).","Veuillez insérer l'IBAN de votre compte banquaire."
"Customweb_OPPCw::Please enter here the account holder name on the card.","Veuillez insérer ici le nom du titulaire de la carte."
"Customweb_OPPCw::Please enter here the account holder name.","Veuillez insérer ici le nom du titulaire du compte."
"Customweb_OPPCw::Please enter here the account number of your bank account.","Veuillez insérer l'IBAN de votre compte banquaire."
"Customweb_OPPCw::Please enter here the bank code of your bank.","Veuillez insérer le code de votre banque."
"Customweb_OPPCw::Please enter here the card holder name on the card.","Veuillez insérer le nom du titulaire de la carte"
"Customweb_OPPCw::Please enter here the commercial number of your company.","Il faut insérer le numéro de commerce de votre entreprise."
"Customweb_OPPCw::Please enter here the name of the account owner.","Vous devez insérer le titulaire de compte"
"Customweb_OPPCw::Please enter here the number on your card.","Veuillez insérer le numéro de carte bancaire."
"Customweb_OPPCw::Please enter here the sales tax number of your company.","Veuillez insérer ici le numéro de taxe de vente de votre entreprise."
"Customweb_OPPCw::Please enter here your gender.","Please enter here your gender."
"Customweb_OPPCw::Please enter here your phone number.","Veuillez insérer votre numéro de téléphone ici."
"Customweb_OPPCw::Please enter here your social security number.","Veuillez insérer votre numéro de sécurité sociale."
"Customweb_OPPCw::Please enter the location of your bank.","Vous devez insérer le lieu de votre banque."
"Customweb_OPPCw::Please enter the name of your bank.","Veuillez insérer ici le nom de votre banque."
"Customweb_OPPCw::Please enter your IBAN number.","Veuillez insérer votre numéro IBAN."
"Customweb_OPPCw::Please enter your gender.","Vous devez insérer votre sexe."
"Customweb_OPPCw::Please enter your issue number, if there is no CVC code on your card.","Veuillez insérer votre numéro, s'il n'y a pas de code CVC de votre carte."
"Customweb_OPPCw::Please enter your phone number.","Veuillez insérer votre numéro de téléphone."
"Customweb_OPPCw::Please fill out the form completely","Please fill out the form completely"
"Customweb_OPPCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Veuillez vider ou désactiver votre cache et essayer à nouveau. Si cela n'aide pas à résoudre le problème, veuillez changer la méthode d'autorisation à Payment Page et <a href=""%s"" target=""_blank"">contactez le support sellxed</a>."
"Customweb_OPPCw::Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Veuillez vider votre cache et essayer à nouveau. Si cela n'aide pas à résoudre le problème, changez la méthode d'autorisation à Payment Page et <a href=""%s"" target=""_blank"">contactez le support sellXed.</a>.', 'http://www.sellxed.com/en/support"
"Customweb_OPPCw::Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Veuillez vider ou désactiver le cache et veuillez essayer à nouveau. Si cela n'aide pas à résoudre le problème, changez la méthode d'autorisation sur PaymentPage et contactez <a href=""%s"" target=""_blank"">sellxed</a>."
"Customweb_OPPCw::Please log in below:","Merci de vous identifier:"
"Customweb_OPPCw::Please pay the order to the following account.","Please pay the order to the following account."
"Customweb_OPPCw::Please read and accept the terms and conditions.","Vouliez lire et accepter les termes & conditions."
"Customweb_OPPCw::Please select","Sélectionner s'il vous plaît"
"Customweb_OPPCw::Please select a shipping method before sending the order.","Sélectionnez un mode de livraison avant d'envoyer la commande."
"Customweb_OPPCw::Please select a shipping provider.","Please select a shipping provider."
"Customweb_OPPCw::Please select the Bank Identifier Code (BIC) of your bank.","Veuillez sélectionner le code d'identification de votre banque. (BIC)"
"Customweb_OPPCw::Please select the day of your birth.","Veuillez sélectionner le jour de votre naissance."
"Customweb_OPPCw::Please select the expiry month on your card.","Sélectionnez le mois de l'expiration de votre carte"
"Customweb_OPPCw::Please select the expiry year on your card.","Veuillez insérer la date d'expiration de la carte."
"Customweb_OPPCw::Please select the month of your birth.","Veuillez sélectionner le mois de votre date de naissance."
"Customweb_OPPCw::Please select the point in the checkout process when the different checks should be processed.","Please select the point in the checkout process when the different checks should be processed."
"Customweb_OPPCw::Please select the processor by which the invoice should be processed.","Veuillez sélectionner le processeur avec lequelle la facture doit être traitée."
"Customweb_OPPCw::Please select the the year of your birth.","Veuillez  sélectionner l'année de votre date de naissance."
"Customweb_OPPCw::Please specify the merchant id (EID) of your Klarna account.","Please specify the merchant id (EID) of your Klarna account."
"Customweb_OPPCw::Please wait...","Please wait..."
"Customweb_OPPCw::Poland","Pologne"
